wall,sim,lingueta_mm,lamina_deg,estado,fase,armvel_nz,armvel_n
1788469627.65,0.00,-0.00,0.03,,,0,0
1788469627.89,309.22,0.00,0.03,,,0,0
1788469627.89,309.23,0.00,0.03,,,0,0
1788469628.00,309.33,0.01,0.03,,,0,0
1788469628.10,309.43,0.00,0.03,,,0,0
1788469628.20,309.53,-0.00,0.03,,,0,0
1788469628.30,309.63,0.00,0.03,,,0,0
1788469628.40,309.73,-0.00,0.03,,,0,0
1788469628.50,309.83,0.00,0.03,,,0,0
1788469628.60,309.93,0.00,0.03,,,0,0
1788469628.70,310.03,0.01,0.03,,,0,0
1788469628.80,310.13,-0.00,0.00,,,0,0
1788469628.90,310.23,0.01,0.00,,,0,0
1788469629.01,310.33,-0.01,0.00,,,0,0
1788469629.11,310.43,-0.01,0.00,,,0,0
1788469629.21,310.53,0.01,0.00,,,0,0
1788469629.31,310.63,0.01,0.00,,,0,0
1788469629.41,310.73,0.00,0.00,,,0,0
1788469629.51,310.83,0.01,0.00,,,0,0
1788469629.61,310.93,0.00,0.00,,,0,0
1788469629.71,311.03,0.00,0.00,,,0,0
1788469629.81,311.13,0.01,0.00,,,0,0
1788469629.92,311.23,0.01,0.00,,,0,0
1788469630.02,311.33,0.00,0.00,,,0,0
1788469630.12,311.43,0.01,0.00,,,0,0
1788469630.22,311.53,-0.00,0.00,,,0,0
1788469630.32,311.63,0.01,0.00,,,0,0
1788469630.42,311.73,0.01,0.00,,,0,0
1788469630.52,311.83,-0.00,0.00,,,0,0
1788469630.62,311.93,0.00,0.00,,,0,0
1788469630.72,312.03,-0.00,0.00,,,0,0
1788469630.82,312.13,0.01,0.00,,,0,0
1788469630.93,312.23,-0.00,0.00,,,0,0
1788469631.03,312.33,-0.01,0.00,,,0,0
1788469631.13,312.43,0.00,0.00,,,0,0
1788469631.23,312.53,-0.00,0.00,,,0,0
1788469631.34,312.63,0.01,0.00,,,0,0
1788469631.43,312.73,0.01,0.00,,,0,0
1788469631.54,312.83,0.00,0.00,,,0,0
1788469631.64,312.93,0.00,0.00,,,0,0
1788469631.74,313.03,-0.00,0.00,,,0,0
1788469631.84,313.13,0.00,0.00,,,0,0
1788469631.94,313.23,-0.00,0.00,,,0,0
1788469632.04,313.33,0.01,0.00,,,0,0
1788469632.14,313.43,0.01,0.00,,,0,0
1788469632.24,313.53,0.00,0.00,,,0,0
1788469632.34,313.63,0.01,0.00,,,0,0
1788469632.44,313.73,0.01,0.00,,,0,0
1788469632.55,313.83,0.00,0.00,,,0,0
1788469632.65,313.93,0.00,0.00,,,0,0
1788469632.75,314.03,-0.00,0.00,,,0,0
