sim,j4_est,j4_true,fase,modo
753.58,,,,
753.68,-4.1,-4.1,,
753.78,-2.4,-2.2,,
753.88,-2.1,-1.2,,
753.98,-1.2,-1.1,,
754.08,-1.2,-1.0,,
754.18,-1.0,-1.0,,
754.28,-1.0,-0.9,,
754.38,-0.9,-0.9,,
754.48,-0.9,-0.9,,
754.58,-0.9,-0.9,,
754.68,-0.9,-0.9,,
754.78,-0.9,-0.9,,
754.88,-0.9,-0.9,,
754.98,-0.9,-0.9,,
755.08,-0.9,-0.9,,
755.18,-0.9,-0.9,,
755.28,-0.9,-0.9,,
755.38,-0.9,-0.9,,
755.48,-0.9,-0.9,,
755.58,-0.9,-0.9,,
755.68,-0.9,-0.9,,
755.78,-0.9,-0.9,,
755.88,-0.9,-0.9,,
755.98,-0.9,-0.9,,
756.08,-0.9,-0.9,,
756.18,-0.9,-0.9,,
756.28,-0.9,-0.9,,
756.38,-0.9,-0.9,,
756.48,-0.9,-0.9,,
756.58,-0.9,-0.9,,
756.68,-0.9,-0.9,,
756.78,-0.9,-0.9,,
756.88,-0.9,-0.9,,
756.98,-0.9,-0.9,,
757.08,-0.9,-0.9,,
757.18,-0.9,-0.9,,
757.28,-0.9,-0.9,,
757.38,-0.9,-0.9,,
757.48,-0.9,-0.9,,
757.58,-0.9,-0.9,,
757.68,-0.9,-0.9,,
757.78,-0.9,-0.9,,
757.88,-0.9,-0.9,,
757.98,-0.9,-0.9,,
758.08,-0.9,-0.9,,
758.18,-0.9,-0.9,,
758.28,-0.9,-0.9,,
758.38,-0.9,-0.9,,
758.48,-0.9,-0.9,,
758.58,-0.9,-0.9,,
758.68,-0.9,-0.9,,
758.78,-0.9,-0.9,,
758.88,-0.9,-0.9,,
758.98,-0.9,-0.9,,
759.08,-0.9,-0.9,,
759.18,-0.9,-0.9,,
759.28,-0.9,-0.9,,
759.38,-0.9,-0.9,,
759.48,-0.9,-0.9,,
759.58,-0.9,-0.9,,
759.68,-0.9,-0.9,,
759.78,-0.9,-0.9,,
759.88,-0.9,-0.9,,
759.98,-0.9,-0.9,,
760.08,-0.9,-0.9,,
760.18,-0.9,-0.9,,
760.28,-0.9,-0.9,,
760.38,-0.9,-0.9,,
760.48,-0.9,-0.9,,
760.58,-0.9,-0.9,,
760.68,-0.9,-0.9,,
760.78,-0.9,-0.9,,
760.88,-0.9,-0.9,,
760.98,-0.9,-0.9,,
761.08,-0.9,-0.9,,
761.18,-0.9,-0.9,,
761.28,-0.9,-0.9,,
761.38,-0.9,-0.9,,
761.48,-0.9,-0.9,,
761.58,-0.9,-0.9,,
761.68,-0.9,-0.9,,
761.78,-0.9,-0.9,,
761.88,-0.9,-0.9,,
761.98,-0.9,-0.9,,
762.08,-0.9,-0.9,,
762.18,-0.9,-0.9,,
762.28,-0.9,-0.9,,
762.38,-0.9,-0.9,,
762.48,-0.9,-0.9,,
762.58,-0.9,-0.9,,
762.68,-0.9,-0.9,,
762.78,-0.9,-0.9,,
762.88,-0.9,-0.9,,
762.98,-0.9,-0.9,,
763.08,-0.9,-0.9,,
763.18,-0.9,-0.9,,
763.28,-0.9,-0.9,,
763.38,-0.9,-0.9,,
763.48,-0.9,-0.9,,
763.58,-0.9,-0.9,,
763.68,-0.9,-0.9,,
763.78,-0.9,-0.9,,
763.88,-0.9,-0.9,,
763.98,-0.9,-0.9,,
764.08,-0.9,-0.9,,
764.18,-0.9,-0.9,,
764.28,-0.9,-0.9,,
764.38,-0.9,-0.9,,
764.48,-0.9,-0.9,,
764.58,-0.9,-0.9,,
764.68,-0.9,-0.9,,
764.78,-0.9,-0.9,,
764.88,-0.9,-0.9,,
764.98,-0.9,-0.9,,
765.08,-0.9,-0.9,,
765.18,-0.9,-0.9,,
765.28,-0.9,-0.9,,
765.38,-0.9,-0.9,,
765.48,-0.9,-0.9,,
765.58,-0.9,-0.9,,
765.68,-0.9,-0.9,,
765.78,-0.9,-0.9,,
765.88,-0.9,-0.9,,
765.98,-0.9,-0.9,,
766.08,-0.9,-0.9,,
