wall,sim,lingueta_mm,lamina_deg,estado,fase,armvel_nz,armvel_n
1788471063.44,0.00,0.00,28.76,,,0,0
1788471063.87,533.76,-0.01,28.76,,,0,0
1788471063.88,533.76,0.00,28.76,,,0,0
1788471063.98,533.87,-0.01,28.76,,,0,0
1788471064.08,533.96,0.00,28.76,,,0,0
1788471064.18,534.06,0.00,28.76,,,0,0
1788471064.28,534.17,-0.01,28.76,,,0,0
1788471064.38,534.26,0.00,28.76,,,0,0
1788471064.48,534.36,-0.01,28.76,,,0,0
1788471064.58,534.46,-0.01,28.76,,,0,0
1788471064.68,534.57,0.00,28.76,,,0,0
1788471064.78,534.66,0.01,0.00,,,0,0
1788471064.88,534.76,0.00,0.00,,,0,0
1788471064.99,534.87,0.01,0.00,,,0,0
1788471065.09,534.97,-0.00,0.00,,,0,0
1788471065.18,535.06,-0.00,0.00,,,0,0
1788471065.29,535.16,0.00,0.00,,,0,0
1788471065.39,535.26,0.01,0.00,,,0,0
1788471065.49,535.36,-0.00,0.00,,,0,0
1788471065.59,535.47,-0.00,0.00,,,0,0
1788471065.69,535.57,0.00,0.00,,,0,0
1788471065.79,535.66,0.01,0.00,,,0,0
1788471065.89,535.76,0.00,0.00,,,0,0
1788471066.00,535.87,-0.00,0.00,,,0,0
1788471066.10,535.97,-0.00,0.00,,,0,0
1788471066.19,536.06,0.00,0.00,,,0,0
1788471066.30,536.16,0.00,0.00,,,0,0
1788471066.40,536.26,-0.01,0.00,,,0,0
1788471066.50,536.37,-0.00,0.00,,,0,0
1788471066.60,536.47,0.01,0.00,,,0,0
1788471066.70,536.57,0.01,0.00,,,0,0
1788471066.80,536.66,-0.00,0.00,,,0,0
1788471066.90,536.76,0.00,0.00,,,0,0
1788471067.00,536.86,0.01,0.00,,,0,0
1788471067.11,536.97,0.00,0.00,,,0,0
1788471067.21,537.07,0.00,0.00,,,0,0
1788471067.31,537.16,-0.00,0.00,,,0,0
1788471067.41,537.26,0.00,0.00,,,0,0
1788471067.51,537.36,0.00,0.00,,,0,0
1788471067.61,537.47,0.01,0.00,,,0,0
1788471067.71,537.57,0.01,0.00,,,0,0
1788471067.81,537.66,0.01,0.00,,,0,0
1788471067.91,537.76,-0.00,0.00,,,0,0
1788471068.01,537.86,-0.01,0.00,,,0,0
1788471068.12,537.97,0.01,0.00,,,0,0
1788471068.21,538.07,-0.00,0.00,,,0,0
1788471068.31,538.16,0.00,0.00,,,0,0
1788471068.41,538.26,-0.00,0.00,,,0,0
1788471068.52,538.37,0.01,0.00,,,0,0
1788471068.62,538.46,0.01,0.00,,,0,0
1788471068.72,538.57,0.00,0.00,,,0,0
1788471068.82,538.67,0.01,0.00,,,0,0
1788471068.92,538.76,0.01,0.00,,,0,0
1788471069.02,538.87,-0.00,0.00,,,0,0
1788471069.12,538.97,0.01,0.00,,,0,0
1788471069.22,539.07,0.01,0.00,,,0,0
1788471069.33,539.17,0.00,0.00,,,0,0
1788471069.43,539.26,0.01,0.00,,,0,0
1788471069.53,539.37,0.01,0.00,,,0,0
