wall,sim,lingueta_mm,lamina_deg,estado,fase,armvel_nz,armvel_n
1788473364.38,0.00,0.00,31.04,,,0,0
1788473364.71,829.26,0.00,31.04,,,0,0
1788473364.72,829.27,0.01,31.04,,,0,0
1788473364.81,829.37,0.00,31.04,,,0,0
1788473364.91,829.47,0.00,31.04,,,0,0
1788473365.01,829.57,0.00,31.04,,,0,0
1788473365.11,829.67,0.01,31.04,,,0,0
1788473365.22,829.77,0.01,31.04,,,0,0
1788473365.32,829.87,0.01,31.04,,,0,0
1788473365.42,829.97,0.00,31.04,,,0,0
1788473365.52,830.07,0.00,31.04,,,0,0
1788473365.62,830.17,0.00,0.00,,,0,0
1788473365.72,830.27,0.01,0.00,,,0,0
1788473365.83,830.37,-0.00,0.00,,,0,0
1788473365.93,830.47,-0.00,0.00,,,0,0
1788473366.03,830.57,0.00,0.00,,,0,0
1788473366.13,830.67,0.01,0.00,,,0,0
1788473366.23,830.77,0.00,0.00,,,0,0
1788473366.33,830.87,0.00,0.00,,,0,0
1788473366.43,830.97,0.00,0.00,,,0,0
1788473366.53,831.07,-0.00,0.00,,,0,0
1788473366.64,831.17,0.01,0.00,,,0,0
1788473366.74,831.27,0.01,0.00,,,0,0
1788473366.84,831.37,0.00,0.00,,,0,0
1788473366.94,831.47,0.00,0.00,,,0,0
1788473367.04,831.57,0.00,0.00,,,0,0
1788473367.14,831.66,-0.00,0.00,,,0,0
1788473367.24,831.76,-0.00,0.00,,,0,0
1788473367.34,831.87,0.00,0.00,,,0,0
1788473367.45,831.97,0.00,0.00,,,0,0
1788473367.55,832.07,-0.00,0.00,,,0,0
1788473367.65,832.17,0.01,0.00,,,0,0
1788473367.75,832.27,0.01,0.00,,,0,0
1788473367.85,832.37,-0.01,0.00,,,0,0
1788473367.95,832.47,0.00,0.00,,,0,0
1788473368.06,832.57,-0.00,0.00,,,0,0
1788473368.16,832.67,0.01,0.00,,,0,0
1788473368.26,832.77,0.00,0.00,,,0,0
1788473368.37,832.87,0.00,0.00,,,0,0
1788473368.47,832.97,0.00,0.00,,,0,0
