wall,sim,lingueta_mm,lamina_deg,estado,fase,armvel_nz,armvel_n
1788473613.55,0.00,0.00,29.14,,,0,0
1788473613.96,1073.61,0.01,29.14,,,0,0
1788473613.97,1073.62,0.00,29.14,,,0,0
1788473614.07,1073.71,-0.01,29.14,,,0,0
1788473614.17,1073.82,0.00,29.14,,,0,0
1788473614.27,1073.92,0.00,29.14,,,0,0
1788473614.37,1074.02,-0.00,29.14,,,0,0
1788473614.47,1074.12,0.00,29.14,,,0,0
1788473614.57,1074.21,0.01,29.14,,,0,0
1788473614.67,1074.31,-0.00,29.14,,,0,0
1788473614.77,1074.41,0.01,29.14,,,0,0
1788473614.87,1074.52,-0.00,0.00,,,0,0
1788473614.97,1074.62,0.01,0.00,,,0,0
1788473615.07,1074.72,0.01,0.00,,,0,0
1788473615.18,1074.82,-0.00,0.00,,,0,0
1788473615.28,1074.92,-0.00,0.00,,,0,0
1788473615.38,1075.02,0.01,0.00,,,0,0
1788473615.48,1075.12,0.01,0.00,,,0,0
1788473615.58,1075.22,-0.00,0.00,,,0,0
1788473615.68,1075.32,0.00,0.00,,,0,0
1788473615.78,1075.42,0.00,0.00,,,0,0
1788473615.88,1075.52,-0.00,0.00,,,0,0
1788473615.98,1075.62,0.00,0.00,,,0,0
1788473616.08,1075.71,0.00,0.00,,,0,0
1788473616.19,1075.82,0.00,0.00,,,0,0
1788473616.29,1075.92,-0.00,0.00,,,0,0
1788473616.39,1076.02,0.01,0.00,,,0,0
1788473616.49,1076.12,0.00,0.00,,,0,0
1788473616.59,1076.22,-0.01,0.00,,,0,0
1788473616.70,1076.32,0.01,0.00,,,0,0
1788473616.80,1076.42,0.00,0.00,,,0,0
1788473616.90,1076.52,0.01,0.00,,,0,0
1788473617.00,1076.62,0.01,0.00,,,0,0
1788473617.10,1076.72,0.01,0.00,,,0,0
1788473617.20,1076.82,0.00,0.00,,,0,0
1788473617.30,1076.92,-0.00,0.00,,,0,0
1788473617.40,1077.02,0.00,0.00,,,0,0
1788473617.50,1077.12,-0.00,0.00,,,0,0
1788473617.61,1077.21,0.00,0.00,,,0,0
1788473617.71,1077.31,-0.00,0.00,,,0,0
1788473617.81,1077.41,0.00,0.00,,,0,0
1788473617.91,1077.51,0.00,0.00,,,0,0
1788473618.01,1077.62,-0.00,0.00,,,0,0
1788473618.11,1077.72,0.00,0.00,,,0,0
1788473618.21,1077.82,0.01,0.00,,,0,0
1788473618.32,1077.92,0.00,0.00,,,0,0
1788473618.42,1078.02,0.00,0.00,,,0,0
1788473618.52,1078.11,0.00,0.00,,,0,0
1788473618.62,1078.22,0.01,0.00,,,0,0
1788473618.73,1078.32,-0.00,0.00,,,0,0
1788473618.83,1078.41,-0.00,0.00,,,0,0
1788473618.93,1078.52,-0.00,0.00,,,0,0
1788473619.03,1078.61,0.00,0.00,,,0,0
1788473619.14,1078.72,0.01,0.00,,,0,0
1788473619.24,1078.82,0.01,0.00,,,0,0
1788473619.34,1078.92,0.00,0.00,,,0,0
1788473619.44,1079.02,0.00,0.00,,,0,0
1788473619.54,1079.12,0.01,0.00,,,0,0
1788473619.64,1079.21,0.00,0.00,,,0,0
1788473619.74,1079.32,0.01,0.00,,,0,0
1788473619.84,1079.41,0.00,0.00,,,0,0
1788473619.94,1079.52,0.00,0.00,,,0,0
1788473620.04,1079.62,0.00,0.00,,,0,0
1788473620.15,1079.72,-0.00,0.00,,,0,0
