wall,sim,lingueta_mm,lamina_deg,estado,fase,armvel_nz,armvel_n
1788478074.73,0.00,0.00,29.44,,,0,0
1788478075.01,2396.20,0.01,29.44,,,0,0
1788478075.01,2396.21,0.01,29.44,,,0,0
1788478075.11,2396.30,0.00,29.44,,,0,0
1788478075.21,2396.41,-0.01,29.44,,,0,0
1788478075.31,2396.50,-0.00,29.44,,,0,0
1788478075.41,2396.60,0.00,29.44,,,0,0
1788478075.51,2396.70,0.01,29.44,,,0,0
1788478075.61,2396.80,0.01,29.44,,,0,0
1788478075.71,2396.90,0.01,29.44,,,0,0
1788478075.81,2397.01,-0.00,29.44,,,0,0
1788478075.91,2397.11,-0.00,0.00,,,0,0
1788478076.01,2397.21,0.00,0.00,,,0,0
1788478076.11,2397.30,0.00,0.00,,,0,0
1788478076.21,2397.41,0.01,0.00,,,0,0
1788478076.31,2397.51,0.01,0.00,,,0,0
1788478076.42,2397.61,-0.00,0.00,,,0,0
1788478076.51,2397.71,0.01,0.00,,,0,0
1788478076.61,2397.81,0.00,0.00,,,0,0
1788478076.71,2397.91,0.00,0.00,,,0,0
1788478076.81,2398.00,0.01,0.00,,,0,0
1788478076.92,2398.11,0.01,0.00,,,0,0
1788478077.02,2398.21,0.01,0.00,,,0,0
1788478077.12,2398.31,-0.00,0.00,,,0,0
1788478077.22,2398.41,-0.00,0.00,,,0,0
1788478077.32,2398.51,-0.00,0.00,,,0,0
1788478077.42,2398.61,-0.00,0.00,,,0,0
1788478077.52,2398.70,-0.00,0.00,,,0,0
1788478077.62,2398.80,0.01,0.00,,,0,0
1788478077.72,2398.91,0.01,0.00,,,0,0
1788478077.83,2399.01,-0.00,0.00,,,0,0
1788478077.93,2399.11,-0.00,0.00,,,0,0
1788478078.03,2399.21,0.00,0.00,,,0,0
1788478078.13,2399.31,0.00,0.00,,,0,0
1788478078.23,2399.41,0.01,0.00,,,0,0
1788478078.33,2399.51,0.01,0.00,,,0,0
1788478078.43,2399.61,0.00,0.00,,,0,0
1788478078.53,2399.71,0.00,0.00,,,0,0
1788478078.63,2399.81,0.00,0.00,,,0,0
1788478078.73,2399.91,0.01,0.00,,,0,0
