wall,sim,lingueta_mm,lamina_deg,estado,fase,armvel_nz,armvel_n
1788476504.78,0.00,-0.00,29.31,,,0,0
1788476505.18,852.70,0.00,29.31,,,0,0
1788476505.19,852.71,0.00,29.31,,,0,0
1788476505.29,852.80,0.01,29.31,,,0,0
1788476505.39,852.90,0.00,29.31,,,0,0
1788476505.48,853.00,0.01,29.31,,,0,0
1788476505.58,853.10,0.01,29.31,,,0,0
1788476505.68,853.20,-0.00,29.31,,,0,0
1788476505.78,853.30,-0.00,29.31,,,0,0
1788476505.88,853.40,-0.00,29.31,,,0,0
1788476505.98,853.50,0.00,29.31,,,0,0
1788476506.09,853.60,-0.01,0.00,,,0,0
1788476506.19,853.71,0.01,0.00,,,0,0
1788476506.29,853.80,0.01,0.00,,,0,0
1788476506.40,853.90,-0.00,0.00,,,0,0
1788476506.50,854.00,0.00,0.00,,,0,0
1788476506.60,854.10,0.00,0.00,,,0,0
1788476506.70,854.20,0.00,0.00,,,0,0
1788476506.80,854.30,0.01,0.00,,,0,0
1788476506.90,854.40,0.00,0.00,,,0,0
1788476507.00,854.50,0.00,0.00,,,0,0
1788476507.10,854.60,0.01,0.00,,,0,0
1788476507.20,854.70,0.01,0.00,,,0,0
1788476507.31,854.81,0.00,0.00,,,0,0
1788476507.40,854.90,0.00,0.00,,,0,0
1788476507.51,855.00,-0.00,0.00,,,0,0
1788476507.61,855.11,-0.00,0.00,,,0,0
1788476507.71,855.20,0.00,0.00,,,0,0
1788476507.81,855.30,0.00,0.00,,,0,0
1788476507.91,855.41,-0.00,0.00,,,0,0
1788476508.02,855.51,-0.00,0.00,,,0,0
1788476508.12,855.61,0.01,0.00,,,0,0
1788476508.22,855.70,0.01,0.00,,,0,0
1788476508.32,855.80,-0.01,0.00,,,0,0
1788476508.42,855.90,0.00,0.00,,,0,0
1788476508.52,856.00,-0.00,0.00,,,0,0
1788476508.62,856.10,0.01,0.00,,,0,0
1788476508.72,856.20,-0.00,0.00,,,0,0
1788476508.82,856.30,0.00,0.00,,,0,0
1788476508.92,856.40,-0.00,0.00,,,0,0
1788476509.02,856.50,0.00,0.00,,,0,0
1788476509.13,856.61,-0.00,0.00,,,0,0
1788476509.23,856.70,-0.00,0.00,,,0,0
1788476509.33,856.80,0.01,0.00,,,0,0
1788476509.43,856.90,0.00,0.00,,,0,0
1788476509.53,857.00,0.00,0.00,,,0,0
1788476509.63,857.10,0.00,0.00,,,0,0
1788476509.74,857.21,0.01,0.00,,,0,0
1788476509.84,857.30,0.01,0.00,,,0,0
1788476509.94,857.40,0.01,0.00,,,0,0
1788476510.04,857.51,-0.00,0.00,,,0,0
1788476510.14,857.60,0.00,0.00,,,0,0
1788476510.24,857.71,0.00,0.00,,,0,0
1788476510.34,857.80,0.00,0.00,,,0,0
1788476510.44,857.90,0.00,0.00,,,0,0
1788476510.54,858.01,-0.00,0.00,,,0,0
1788476510.64,858.10,0.01,0.00,,,0,0
1788476510.75,858.20,-0.00,0.00,,,0,0
1788476510.85,858.30,0.01,0.00,,,0,0
1788476510.95,858.40,-0.00,0.00,,,0,0
1788476511.05,858.50,0.01,0.00,,,0,0
1788476511.15,858.61,0.01,0.00,,,0,0
1788476511.25,858.70,-0.00,0.00,,,0,0
1788476511.35,858.80,-0.00,0.00,,,0,0
1788476511.45,858.90,0.01,0.00,,,0,0
1788476511.55,859.00,0.01,0.00,,,0,0
1788476511.65,859.10,-0.00,0.00,,,0,0
1788476511.75,859.21,0.00,0.00,,,0,0
1788476511.85,859.30,0.00,0.00,,,0,0
1788476511.95,859.40,-0.00,0.00,,,0,0
1788476512.05,859.50,-0.00,0.00,,,0,0
1788476512.15,859.60,0.01,0.00,,,0,0
1788476512.25,859.70,0.00,0.00,,,0,0
1788476512.36,859.80,-0.00,0.00,,,0,0
1788476512.46,859.90,0.00,0.00,,,0,0
1788476512.56,860.00,0.01,0.00,,,0,0
1788476512.66,860.10,-0.00,0.00,,,0,0
1788476512.76,860.20,0.01,0.00,,,0,0
1788476512.86,860.30,0.01,0.00,,,0,0
1788476512.97,860.40,0.00,0.00,,,0,0
1788476513.07,860.50,0.01,0.00,,,0,0
1788476513.17,860.60,-0.00,0.00,,,0,0
1788476513.27,860.70,-0.00,0.00,,,0,0
1788476513.37,860.80,0.01,0.00,,,0,0
1788476513.47,860.90,-0.00,0.00,,,0,0
1788476513.57,861.00,-0.00,0.00,,,0,0
1788476513.68,861.11,0.00,0.00,,,0,0
1788476513.78,861.20,0.00,0.00,,,0,0
1788476513.88,861.30,-0.00,0.00,,,0,0
1788476513.98,861.40,-0.00,0.00,,,0,0
1788476514.08,861.50,0.00,0.00,,,0,0
1788476514.18,861.60,-0.00,0.00,,,0,0
1788476514.28,861.71,0.00,0.00,,,0,0
1788476514.38,861.80,0.01,0.00,,,0,0
1788476514.49,861.90,0.01,0.00,,,0,0
1788476514.59,862.00,0.00,0.00,,,0,0
1788476514.69,862.10,-0.00,0.00,,,0,0
1788476514.79,862.20,-0.00,0.00,,,0,0
1788476514.89,862.30,-0.00,0.00,,,0,0
1788476514.99,862.40,-0.00,0.00,,,0,0
1788476515.09,862.50,0.01,0.00,,,0,0
1788476515.19,862.60,0.00,0.00,,,0,0
1788476515.29,862.70,0.01,0.00,,,0,0
1788476515.39,862.80,0.01,0.00,,,0,0
1788476515.49,862.90,0.00,0.00,,,0,0
1788476515.59,863.00,0.01,0.00,,,0,0
1788476515.69,863.10,0.00,0.00,,,0,0
1788476515.79,863.20,0.01,0.00,,,0,0
1788476515.89,863.30,0.01,0.00,,,0,0
1788476516.00,863.40,0.01,0.00,,,0,0
1788476516.09,863.50,0.01,0.00,,,0,0
1788476516.20,863.60,-0.00,0.00,,,0,0
1788476516.29,863.70,-0.00,0.00,,,0,0
1788476516.40,863.80,-0.00,0.00,,,0,0
1788476516.50,863.90,0.00,0.00,,,0,0
1788476516.60,864.00,0.01,0.00,,,0,0
1788476516.70,864.10,0.01,0.00,,,0,0
1788476516.80,864.20,-0.00,0.00,,,0,0
1788476516.91,864.30,-0.00,0.00,,,0,0
1788476517.01,864.41,0.00,0.00,,,0,0
1788476517.11,864.50,0.00,0.00,,,0,0
1788476517.21,864.60,0.01,0.00,,,0,0
1788476517.32,864.70,0.01,0.00,,,0,0
1788476517.42,864.80,-0.00,0.00,,,0,0
1788476517.52,864.90,0.00,0.00,,,0,0
1788476517.62,865.00,-0.00,0.00,,,0,0
1788476517.72,865.11,0.01,0.00,,,0,0
1788476517.82,865.20,0.01,0.00,,,0,0
1788476517.93,865.30,0.00,0.00,,,0,0
1788476518.02,865.40,-0.00,0.00,,,0,0
1788476518.13,865.50,-0.00,0.00,,,0,0
1788476518.23,865.61,0.00,0.00,,,0,0
1788476518.33,865.70,-0.00,0.00,,,0,0
1788476518.43,865.80,-0.00,0.00,,,0,0
1788476518.53,865.90,-0.00,0.00,,,0,0
1788476518.63,866.00,0.01,0.00,,,0,0
1788476518.73,866.10,0.01,0.00,,,0,0
1788476518.84,866.21,0.00,0.00,,,0,0
1788476518.93,866.30,-0.00,0.00,,,0,0
1788476519.03,866.40,0.01,0.00,,,0,0
1788476519.16,866.51,0.01,0.00,,,0,0
1788476519.25,866.60,0.00,0.00,,,0,0
1788476519.35,866.70,0.00,0.00,,,0,0
1788476519.45,866.80,0.00,0.00,,,0,0
1788476519.55,866.90,-0.00,0.00,,,0,0
1788476519.66,867.00,0.00,0.00,,,0,0
1788476519.76,867.10,0.00,0.00,,,0,0
1788476519.86,867.20,0.01,0.00,,,0,0
1788476519.96,867.30,0.00,0.00,,,0,0
1788476520.06,867.40,0.01,0.00,STOW_INIT,,0,1
1788476520.16,867.50,0.01,0.00,STOW_INIT,,0,0
1788476520.26,867.61,0.00,0.00,STOW_INIT,,0,0
1788476520.36,867.70,-0.00,0.00,SEARCH,,0,0
1788476520.46,867.80,-0.00,0.00,SEARCH,,0,0
1788476520.56,867.90,0.00,0.00,SEARCH,,0,0
1788476520.67,868.00,0.00,0.00,SEARCH,,0,0
1788476520.77,868.11,0.01,0.00,SEARCH,,0,0
1788476520.87,868.21,-0.00,0.00,SEARCH,,0,0
1788476520.97,868.30,0.00,0.00,SEARCH,,0,0
1788476521.07,868.40,0.01,0.00,SEARCH,,0,0
1788476521.17,868.50,0.01,0.00,SEARCH,,0,0
1788476521.27,868.60,-0.00,0.00,SEARCH,,0,0
1788476521.37,868.70,0.00,0.00,SEARCH,,0,0
1788476521.48,868.80,0.01,0.00,SEARCH,,0,0
1788476521.58,868.90,0.01,0.00,SEARCH,,0,0
1788476521.68,869.00,0.01,0.00,SEARCH,,0,0
1788476521.78,869.10,-0.00,0.00,SEARCH,,0,0
1788476521.88,869.20,-0.00,0.00,SEARCH,,0,0
1788476521.98,869.30,0.00,0.00,SEARCH,,0,0
1788476522.08,869.40,0.00,0.00,SEARCH,,0,0
1788476522.18,869.50,-0.01,0.00,SEARCH,,0,0
1788476522.28,869.60,0.01,0.00,SEARCH,,0,0
1788476522.38,869.70,0.01,0.00,SEARCH,,0,0
1788476522.48,869.80,-0.00,0.00,SEARCH,,0,0
1788476522.58,869.90,-0.00,0.00,SEARCH,,0,0
1788476522.69,870.00,0.00,0.00,SEARCH,,0,0
1788476522.79,870.11,0.01,0.00,SEARCH,,0,0
1788476522.89,870.20,0.00,0.00,SEARCH,,0,0
1788476522.99,870.30,0.01,0.00,SEARCH,,0,0
1788476523.09,870.40,0.01,0.00,SEARCH,,0,0
1788476523.19,870.50,0.00,0.00,SEARCH,,0,0
1788476523.29,870.60,0.00,0.00,SEARCH,,0,0
1788476523.39,870.71,0.01,0.00,SEARCH,,0,0
1788476523.50,870.81,0.01,0.00,SEARCH,,0,0
1788476523.60,870.90,0.01,0.00,SEARCH,,0,0
1788476523.70,871.00,0.00,0.00,SEARCH,,0,0
1788476523.80,871.10,-0.01,0.00,SEARCH,,0,0
1788476523.90,871.21,0.01,0.00,SEARCH,,0,0
1788476524.00,871.30,0.01,0.00,SEARCH,,0,0
1788476524.10,871.40,0.00,0.00,SEARCH,,0,0
1788476524.21,871.50,-0.00,0.00,SEARCH,,0,0
1788476524.31,871.60,0.01,0.00,SEARCH,,0,0
1788476524.41,871.70,-0.00,0.00,SEARCH,,0,0
1788476524.51,871.80,-0.00,0.00,SEARCH,,0,0
1788476524.62,871.91,0.01,0.00,SEARCH,,0,0
1788476524.72,872.00,0.01,0.00,SEARCH,,0,0
1788476524.82,872.11,0.00,0.00,SEARCH,,0,0
1788476524.92,872.20,0.01,0.00,SEARCH,,0,0
1788476525.02,872.30,0.00,0.00,SEARCH,,0,0
1788476525.12,872.40,0.01,0.00,SEARCH,,0,0
1788476525.22,872.50,-0.00,0.00,SEARCH,,0,0
1788476525.32,872.60,-0.00,0.00,SEARCH,,0,0
1788476525.42,872.70,-0.00,0.00,SEARCH,,0,0
1788476525.52,872.80,0.00,0.00,SEARCH,,0,0
1788476525.62,872.90,0.01,0.00,SEARCH,,0,0
1788476525.73,873.00,0.00,0.00,SEARCH,,0,0
1788476525.83,873.11,0.01,0.00,SEARCH,,0,0
1788476525.93,873.21,0.00,0.00,SEARCH,,0,0
1788476526.03,873.30,0.01,0.00,SEARCH,,0,0
1788476526.13,873.40,0.00,0.00,SEARCH,,0,0
1788476526.23,873.50,-0.00,0.00,SEARCH,,0,0
1788476526.33,873.60,0.00,0.00,SEARCH,,0,0
1788476526.44,873.70,0.01,0.00,SEARCH,,0,0
1788476526.54,873.80,-0.00,0.00,SEARCH,,0,0
1788476526.64,873.90,0.00,0.00,SEARCH,,0,0
1788476526.74,874.00,-0.00,0.00,SEARCH,,0,0
1788476526.84,874.10,0.00,0.00,SEARCH,,0,0
1788476526.94,874.20,-0.00,0.00,SEARCH,,0,0
1788476527.04,874.30,-0.00,0.00,SEARCH,,0,0
1788476527.15,874.41,0.00,0.00,SEARCH,,0,0
1788476527.25,874.51,-0.00,0.00,SEARCH,,0,0
1788476527.35,874.60,0.00,0.00,SEARCH,,0,0
1788476527.45,874.71,0.00,0.00,SEARCH,,0,0
1788476527.55,874.80,0.00,0.00,SEARCH,,0,0
1788476527.65,874.90,0.00,0.00,SEARCH,,0,0
1788476527.75,875.00,0.01,0.00,SEARCH,,0,0
1788476527.86,875.11,0.00,0.00,SEARCH,,0,0
1788476527.96,875.20,-0.00,0.00,SEARCH,,0,0
1788476528.06,875.30,0.00,0.00,SEARCH,,0,0
1788476528.16,875.40,0.01,0.00,SEARCH,,0,0
1788476528.26,875.51,0.01,0.00,SEARCH,,0,0
1788476528.36,875.60,0.01,0.00,SEARCH,,0,0
1788476528.46,875.70,0.01,0.00,SEARCH,,0,0
1788476528.57,875.80,0.00,0.00,SEARCH,,0,0
1788476528.67,875.90,-0.00,0.00,SEARCH,,0,0
1788476528.77,876.00,0.00,0.00,SEARCH,,0,0
1788476528.87,876.10,-0.00,0.00,SEARCH,,0,0
1788476528.97,876.20,0.00,0.00,SEARCH,,0,0
1788476529.08,876.31,-0.00,0.00,SEARCH,,0,0
1788476529.18,876.40,0.01,0.00,SEARCH,,0,0
1788476529.28,876.50,0.00,0.00,SEARCH,,0,0
1788476529.38,876.60,-0.00,0.00,SEARCH,,0,0
1788476529.48,876.71,-0.00,0.00,SEARCH,,0,0
1788476529.59,876.81,0.01,0.00,SEARCH,,0,0
1788476529.69,876.91,0.00,0.00,SEARCH,,0,0
1788476529.79,877.00,0.00,0.00,SEARCH,,0,0
1788476529.89,877.11,0.00,0.00,SEARCH,,0,0
1788476529.99,877.20,0.01,0.00,SEARCH,,0,0
1788476530.10,877.31,-0.00,0.00,SEARCH,,0,0
1788476530.20,877.40,0.00,0.00,SEARCH,,0,0
1788476530.30,877.50,-0.00,0.00,SEARCH,,0,0
1788476530.40,877.61,-0.00,0.00,SEARCH,,0,0
1788476530.50,877.71,0.00,0.00,SEARCH,,0,0
1788476530.60,877.80,0.01,0.00,SEARCH,,0,0
1788476530.70,877.91,0.01,0.00,SEARCH,,0,0
1788476530.80,878.00,0.00,0.00,SEARCH,,0,0
1788476530.90,878.10,0.01,0.00,SEARCH,,0,0
1788476531.00,878.20,0.01,0.00,SEARCH,,0,0
1788476531.10,878.30,0.01,0.00,SEARCH,,0,0
1788476531.20,878.40,0.00,0.00,SEARCH,,0,0
1788476531.31,878.50,0.00,0.00,SEARCH,,0,0
1788476531.41,878.61,-0.00,0.00,SEARCH,,0,0
1788476531.51,878.71,-0.00,0.00,SEARCH,,0,0
1788476531.61,878.80,0.00,0.00,SEARCH,,0,0
1788476531.71,878.90,0.01,0.00,SEARCH,,0,0
1788476531.81,879.00,-0.00,0.00,SEARCH,,0,0
1788476531.91,879.10,0.00,0.00,SEARCH,,0,0
1788476532.01,879.20,0.01,0.00,SEARCH,,0,0
1788476532.12,879.30,0.01,0.00,SEARCH,,0,0
1788476532.22,879.41,0.01,0.00,SEARCH,,0,0
1788476532.32,879.50,-0.00,0.00,SEARCH,,0,0
1788476532.42,879.60,-0.01,0.00,SEARCH,,0,0
1788476532.52,879.70,-0.00,0.00,SEARCH,,0,0
1788476532.62,879.80,-0.00,0.00,SEARCH,,0,0
1788476532.72,879.90,0.00,0.00,SEARCH,,0,0
1788476532.82,880.00,0.00,0.00,SEARCH,,0,0
1788476532.92,880.10,0.00,0.00,SEARCH,,0,0
1788476533.02,880.21,0.01,0.00,SEARCH,,0,0
1788476533.12,880.30,0.00,0.00,SEARCH,,0,0
1788476533.23,880.41,0.00,0.00,SEARCH,,0,0
1788476533.32,880.50,0.00,0.00,SEARCH,,0,0
1788476533.42,880.60,0.01,0.00,SEARCH,,0,0
1788476533.53,880.70,0.00,0.00,SEARCH,,0,0
1788476533.63,880.80,-0.00,0.00,SEARCH,,0,0
1788476533.73,880.90,0.00,0.00,SEARCH,,0,0
1788476533.83,881.00,0.00,0.00,SEARCH,,0,0
1788476533.93,881.10,0.01,0.00,SEARCH,,0,0
1788476534.03,881.20,0.01,0.00,SEARCH,,0,0
1788476534.13,881.30,0.01,0.00,SEARCH,,0,0
1788476534.23,881.40,0.00,0.00,SEARCH,,0,0
1788476534.33,881.50,-0.00,0.00,SEARCH,,0,0
1788476534.44,881.61,0.00,0.00,SEARCH,,0,0
1788476534.54,881.71,-0.00,0.00,SEARCH,,0,0
1788476534.64,881.80,0.01,0.00,SEARCH,,0,0
1788476534.74,881.90,-0.01,0.00,SEARCH,,0,0
1788476534.84,882.00,-0.00,0.00,SEARCH,,0,0
1788476534.95,882.11,-0.00,0.00,SEARCH,,0,0
1788476535.05,882.21,0.00,0.00,SEARCH,,0,0
1788476535.15,882.30,0.01,0.00,SEARCH,,0,0
1788476535.25,882.40,0.01,0.00,SEARCH,,0,0
1788476535.35,882.50,0.01,0.00,SEARCH,,0,0
1788476535.44,882.60,0.00,0.00,SEARCH,,0,0
1788476535.55,882.70,-0.00,0.00,SEARCH,,0,0
1788476535.65,882.80,0.00,0.00,SEARCH,,0,0
1788476535.75,882.90,-0.00,0.00,SEARCH,,0,0
1788476535.85,883.00,-0.00,0.00,SEARCH,,0,0
1788476535.96,883.11,-0.00,0.00,SEARCH,,0,0
1788476536.06,883.20,0.00,0.00,SEARCH,,0,0
1788476536.16,883.30,0.01,0.00,SEARCH,,0,0
1788476536.26,883.41,0.00,0.00,SEARCH,,0,0
1788476536.36,883.50,0.00,0.00,SEARCH,,0,0
1788476536.46,883.60,0.01,0.00,SEARCH,,0,0
1788476536.56,883.71,-0.00,0.00,SEARCH,,0,0
1788476536.67,883.80,0.00,0.00,SEARCH,,0,0
1788476536.77,883.91,-0.00,0.00,SEARCH,,0,0
1788476536.87,884.00,0.00,0.00,SEARCH,,0,0
1788476536.97,884.11,0.01,0.00,SEARCH,,0,0
1788476537.07,884.20,-0.00,0.00,SEARCH,,0,0
1788476537.17,884.31,-0.00,0.00,SEARCH,,0,0
1788476537.27,884.40,0.00,0.00,SEARCH,,0,0
1788476537.37,884.50,0.01,0.00,SEARCH,,0,0
1788476537.47,884.60,-0.00,0.00,SEARCH,,0,0
1788476537.57,884.70,0.00,0.00,SEARCH,,0,0
1788476537.68,884.80,0.01,0.00,SEARCH,,0,0
1788476537.78,884.90,-0.00,0.00,SEARCH,,0,0
1788476537.88,885.00,0.00,0.00,SEARCH,,0,0
1788476537.98,885.11,-0.00,0.00,SEARCH,,0,0
1788476538.08,885.20,-0.00,0.00,SEARCH,,0,0
1788476538.18,885.30,-0.00,0.00,SEARCH,,0,0
1788476538.28,885.40,0.00,0.00,SEARCH,,0,0
1788476538.38,885.50,-0.00,0.00,SEARCH,,0,0
1788476538.48,885.60,0.00,0.00,SEARCH,,0,0
1788476538.59,885.71,0.01,0.00,SEARCH,,0,0
1788476538.69,885.80,0.01,0.00,SEARCH,,0,0
1788476538.79,885.91,0.00,0.00,SEARCH,,0,0
1788476538.89,886.00,0.01,0.00,SEARCH,,0,0
1788476538.99,886.10,0.00,0.00,SEARCH,,0,0
1788476539.09,886.21,-0.00,0.00,SEARCH,,0,0
1788476539.19,886.30,0.00,0.00,SEARCH,,0,0
1788476539.30,886.41,0.00,0.00,SEARCH,,0,0
1788476539.40,886.51,-0.00,0.00,SEARCH,,0,0
1788476539.50,886.60,-0.00,0.00,SEARCH,,0,0
1788476539.60,886.70,0.01,0.00,SEARCH,,0,0
1788476539.70,886.80,0.01,0.00,SEARCH,,0,0
1788476539.80,886.90,-0.00,0.00,SEARCH,,0,0
1788476539.90,887.00,0.00,0.00,SEARCH,,0,0
1788476540.00,887.11,-0.00,0.00,SEARCH,,0,0
1788476540.10,887.20,0.01,0.00,SEARCH,,0,0
1788476540.20,887.30,0.01,0.00,SEARCH,,0,0
1788476540.30,887.40,0.00,0.00,SEARCH,,0,0
1788476540.41,887.50,0.00,0.00,SEARCH,,0,0
1788476540.51,887.60,0.00,0.00,SEARCH,,0,0
1788476540.61,887.71,-0.00,0.00,SEARCH,,0,0
1788476540.71,887.80,0.00,0.00,SEARCH,,0,0
1788476540.81,887.90,0.01,0.00,SEARCH,,0,0
1788476540.91,888.01,0.01,0.00,SEARCH,,0,0
1788476541.01,888.11,0.00,0.00,SEARCH,,0,0
1788476541.11,888.21,0.01,0.00,SEARCH,,0,0
1788476541.21,888.30,0.00,0.00,SEARCH,,0,0
1788476541.31,888.40,0.00,0.00,SEARCH,,0,0
1788476541.41,888.50,0.00,0.00,APPROACH,,0,0
1788476541.51,888.60,0.00,0.00,APPROACH,,0,0
1788476541.61,888.70,0.00,0.00,APPROACH,,0,0
1788476541.72,888.80,0.01,0.00,APPROACH,,0,0
1788476541.81,888.90,0.01,0.00,APPROACH,,0,0
1788476541.92,889.00,0.00,0.00,APPROACH,,0,0
1788476542.01,889.10,0.01,0.00,APPROACH,,0,0
1788476542.12,889.20,0.01,0.00,APPROACH,,0,0
1788476542.21,889.30,-0.00,0.00,APPROACH,,0,0
1788476542.32,889.40,0.01,0.00,APPROACH,,0,0
1788476542.42,889.50,-0.00,0.00,APPROACH,,0,0
1788476542.52,889.60,0.01,0.00,APPROACH,,0,0
1788476542.62,889.70,0.01,0.00,APPROACH,,0,0
1788476542.72,889.80,-0.00,0.00,APPROACH,,0,0
1788476542.82,889.90,-0.00,0.00,APPROACH,,0,0
1788476542.92,890.00,0.00,0.00,APPROACH,,0,0
1788476543.02,890.11,0.00,0.00,APPROACH,,0,0
1788476543.12,890.20,-0.00,0.00,APPROACH,,0,0
1788476543.22,890.31,0.00,0.00,APPROACH,,0,0
1788476543.32,890.40,0.00,0.00,APPROACH,,0,0
1788476543.43,890.51,-0.00,0.00,APPROACH,,0,0
1788476543.52,890.60,0.01,0.00,APPROACH,,0,0
1788476543.62,890.70,0.01,0.00,APPROACH,,0,0
1788476543.72,890.80,-0.00,0.00,APPROACH,,0,0
1788476543.83,890.90,0.00,0.00,APPROACH,,0,0
1788476543.93,891.00,0.00,0.00,APPROACH,,0,0
1788476544.03,891.10,0.01,0.00,APPROACH,,0,0
1788476544.13,891.20,-0.00,0.00,APPROACH,,0,0
1788476544.23,891.30,0.01,0.00,APPROACH,,0,0
1788476544.33,891.40,0.01,0.00,APPROACH,,0,0
1788476544.43,891.50,0.00,0.00,APPROACH,,0,0
1788476544.53,891.60,0.01,0.00,APPROACH,,0,0
1788476544.63,891.70,0.00,0.00,APPROACH,,0,0
1788476544.74,891.80,-0.00,0.00,APPROACH,,0,0
1788476544.83,891.90,0.01,0.00,APPROACH,,0,0
1788476544.94,892.00,-0.00,0.00,APPROACH,,0,0
1788476545.04,892.10,-0.00,0.00,APPROACH,,0,0
1788476545.14,892.20,0.00,0.00,APPROACH,,0,0
1788476545.24,892.30,0.00,0.00,APPROACH,,0,0
