wall,sim,lingueta_mm,lamina_deg,estado,fase,armvel_nz,armvel_n
1788477107.59,0.00,-0.00,30.53,,,0,0
1788477107.90,1444.99,-0.00,30.53,,,0,0
1788477107.91,1444.99,-0.01,30.53,,,0,0
1788477108.01,1445.10,-0.01,30.53,,,0,0
1788477108.11,1445.19,-0.00,30.53,,,0,0
1788477108.21,1445.29,0.01,30.53,,,0,0
1788477108.32,1445.39,-0.01,30.53,,,0,0
1788477108.42,1445.49,-0.01,30.53,,,0,0
1788477108.52,1445.59,0.01,30.53,,,0,0
1788477108.62,1445.69,-0.00,30.53,,,0,0
1788477108.72,1445.79,0.00,30.53,,,0,0
1788477108.82,1445.89,-0.00,0.00,,,0,0
1788477108.92,1445.99,0.01,0.00,,,0,0
1788477109.02,1446.10,0.00,0.00,,,0,0
1788477109.13,1446.19,0.01,0.00,,,0,0
1788477109.23,1446.30,0.01,0.00,,,0,0
1788477109.33,1446.39,0.01,0.00,,,0,0
1788477109.43,1446.49,-0.00,0.00,,,0,0
1788477109.53,1446.59,-0.00,0.00,,,0,0
1788477109.64,1446.69,0.00,0.00,,,0,0
1788477109.73,1446.79,-0.00,0.00,,,0,0
1788477109.84,1446.89,-0.00,0.00,,,0,0
1788477109.94,1446.99,-0.01,0.00,,,0,0
1788477110.04,1447.09,0.01,0.00,,,0,0
1788477110.14,1447.19,0.01,0.00,,,0,0
1788477110.24,1447.30,0.00,0.00,,,0,0
1788477110.34,1447.39,0.01,0.00,,,0,0
1788477110.45,1447.49,0.01,0.00,,,0,0
1788477110.55,1447.59,0.00,0.00,,,0,0
1788477110.65,1447.70,0.01,0.00,,,0,0
1788477110.75,1447.80,0.00,0.00,,,0,0
1788477110.85,1447.89,0.01,0.00,,,0,0
1788477110.95,1447.99,-0.00,0.00,,,0,0
1788477111.05,1448.09,0.00,0.00,,,0,0
1788477111.15,1448.19,-0.00,0.00,,,0,0
1788477111.26,1448.30,0.00,0.00,,,0,0
1788477111.35,1448.39,0.01,0.00,,,0,0
1788477111.45,1448.49,0.01,0.00,,,0,0
1788477111.56,1448.59,0.00,0.00,,,0,0
1788477111.66,1448.70,0.00,0.00,,,0,0
1788477111.76,1448.79,-0.00,0.00,,,0,0
1788477111.86,1448.90,0.00,0.00,,,0,0
1788477111.96,1448.99,0.00,0.00,,,0,0
1788477112.06,1449.10,-0.00,0.00,,,0,0
1788477112.16,1449.19,0.01,0.00,,,0,0
1788477112.26,1449.29,-0.00,0.00,,,0,0
1788477112.36,1449.39,-0.00,0.00,,,0,0
1788477112.47,1449.50,-0.00,0.00,,,0,0
1788477112.57,1449.59,0.01,0.00,,,0,0
1788477112.67,1449.69,-0.00,0.00,,,0,0
1788477112.77,1449.79,-0.00,0.00,,,0,0
1788477112.88,1449.89,0.01,0.00,,,0,0
1788477112.98,1449.99,-0.00,0.00,,,0,0
1788477113.08,1450.09,0.00,0.00,,,0,0
1788477113.18,1450.19,-0.00,0.00,,,0,0
1788477113.28,1450.29,-0.00,0.00,,,0,0
1788477113.38,1450.39,-0.00,0.00,,,0,0
1788477113.48,1450.49,0.00,0.00,,,0,0
1788477113.58,1450.60,-0.00,0.00,,,0,0
1788477113.68,1450.69,-0.00,0.00,,,0,0
1788477113.78,1450.79,0.00,0.00,,,0,0
1788477113.88,1450.89,0.01,0.00,,,0,0
1788477113.98,1450.99,-0.01,0.00,,,0,0
1788477114.08,1451.10,0.01,0.00,,,0,0
1788477114.18,1451.19,0.01,0.00,,,0,0
1788477114.28,1451.29,0.00,0.00,,,0,0
1788477114.38,1451.39,0.01,0.00,,,0,0
1788477114.48,1451.49,0.01,0.00,,,0,0
1788477114.58,1451.59,-0.00,0.00,,,0,0
1788477114.68,1451.69,0.00,0.00,,,0,0
1788477114.79,1451.79,-0.00,0.00,,,0,0
1788477114.89,1451.89,0.01,0.00,,,0,0
1788477114.99,1451.99,0.00,0.00,,,0,0
1788477115.09,1452.09,0.00,0.00,,,0,0
1788477115.19,1452.19,-0.00,0.00,,,0,0
1788477115.29,1452.30,0.01,0.00,,,0,0
1788477115.39,1452.39,-0.00,0.00,,,0,0
1788477115.50,1452.50,0.00,0.00,,,0,0
1788477115.59,1452.59,-0.00,0.00,,,0,0
1788477115.72,1452.69,0.00,0.00,,,0,0
1788477115.81,1452.79,-0.00,0.00,,,0,0
1788477115.90,1452.89,-0.00,0.00,,,0,0
1788477116.00,1452.99,0.00,0.00,,,0,0
1788477116.11,1453.10,0.00,0.00,,,0,0
1788477116.22,1453.19,0.00,0.00,,,0,0
1788477116.31,1453.29,0.01,0.00,,,0,0
1788477116.41,1453.39,0.00,0.00,,,0,0
1788477116.51,1453.49,0.01,0.00,,,0,0
1788477116.62,1453.59,0.01,0.00,,,0,0
1788477116.72,1453.69,0.00,0.00,STOW_INIT,,0,1
1788477116.82,1453.79,0.00,0.00,STOW_INIT,,0,0
1788477116.92,1453.89,0.00,0.00,STOW_INIT,,0,0
1788477117.03,1454.00,0.00,0.00,SEARCH,,0,0
1788477117.13,1454.10,-0.00,0.00,SEARCH,,0,0
1788477117.23,1454.19,-0.00,0.00,SEARCH,,0,0
1788477117.33,1454.30,-0.00,0.00,SEARCH,,0,0
1788477117.43,1454.39,0.01,0.00,SEARCH,,0,0
1788477117.53,1454.49,0.00,0.00,SEARCH,,0,0
1788477117.63,1454.59,0.00,0.00,SEARCH,,0,0
1788477117.73,1454.69,-0.00,0.00,SEARCH,,0,0
1788477117.83,1454.79,0.01,0.00,SEARCH,,0,0
1788477117.93,1454.89,0.00,0.00,SEARCH,,0,0
1788477118.03,1454.99,0.00,0.00,SEARCH,,0,0
1788477118.13,1455.09,-0.00,0.00,SEARCH,,0,0
1788477118.23,1455.19,0.00,0.00,SEARCH,,0,0
1788477118.34,1455.30,-0.00,0.00,SEARCH,,0,0
1788477118.44,1455.39,0.00,0.00,SEARCH,,0,0
1788477118.54,1455.49,0.00,0.00,SEARCH,,0,0
1788477118.64,1455.59,-0.00,0.00,SEARCH,,0,0
1788477118.74,1455.69,0.01,0.00,SEARCH,,0,0
1788477118.84,1455.79,0.00,0.00,SEARCH,,0,0
1788477118.94,1455.89,0.00,0.00,SEARCH,,0,0
1788477119.04,1455.99,0.00,0.00,SEARCH,,0,0
1788477119.15,1456.09,0.00,0.00,SEARCH,,0,0
1788477119.25,1456.19,0.00,0.00,SEARCH,,0,0
1788477119.35,1456.29,-0.01,0.00,SEARCH,,0,0
1788477119.45,1456.39,0.00,0.00,SEARCH,,0,0
1788477119.55,1456.49,0.01,0.00,SEARCH,,0,0
1788477119.65,1456.60,0.01,0.00,SEARCH,,0,0
1788477119.75,1456.69,0.01,0.00,SEARCH,,0,0
1788477119.85,1456.79,0.01,0.00,SEARCH,,0,0
1788477119.95,1456.90,0.00,0.00,SEARCH,,0,0
1788477120.05,1456.99,-0.00,0.00,SEARCH,,0,0
1788477120.16,1457.10,0.00,0.00,SEARCH,,0,0
1788477120.25,1457.19,-0.00,0.00,SEARCH,,0,0
1788477120.36,1457.29,-0.00,0.00,SEARCH,,0,0
1788477120.46,1457.39,-0.00,0.00,SEARCH,,0,0
1788477120.56,1457.49,0.00,0.00,SEARCH,,0,0
1788477120.66,1457.59,0.01,0.00,SEARCH,,0,0
1788477120.76,1457.69,0.00,0.00,SEARCH,,0,0
1788477120.86,1457.79,0.00,0.00,SEARCH,,0,0
1788477120.96,1457.90,0.01,0.00,SEARCH,,0,0
1788477121.06,1457.99,0.01,0.00,SEARCH,,0,0
1788477121.17,1458.10,0.01,0.00,SEARCH,,0,0
1788477121.27,1458.19,-0.00,0.00,SEARCH,,0,0
1788477121.37,1458.30,0.00,0.00,SEARCH,,0,0
1788477121.47,1458.39,-0.00,0.00,SEARCH,,0,0
1788477121.57,1458.49,0.00,0.00,SEARCH,,0,0
1788477121.67,1458.59,-0.00,0.00,SEARCH,,0,0
1788477121.77,1458.70,0.00,0.00,SEARCH,,0,0
1788477121.87,1458.79,0.01,0.00,SEARCH,,0,0
1788477121.97,1458.89,0.00,0.00,SEARCH,,0,0
1788477122.07,1458.99,0.01,0.00,SEARCH,,0,0
1788477122.17,1459.09,0.00,0.00,SEARCH,,0,0
1788477122.27,1459.19,0.01,0.00,SEARCH,,0,0
1788477122.38,1459.29,0.01,0.00,SEARCH,,0,0
1788477122.48,1459.39,0.01,0.00,SEARCH,,0,0
1788477122.58,1459.49,-0.00,0.00,SEARCH,,0,0
1788477122.68,1459.59,0.01,0.00,SEARCH,,0,0
