wall,sim,lingueta_mm,lamina_deg,estado,fase,armvel_nz,armvel_n
1788454935.27,0.00,0.00,29.70,,,0,0
1788454935.41,5033.66,-0.00,29.70,,,0,0
1788454935.41,5033.66,-0.00,29.70,,,0,0
1788454935.51,5033.76,0.01,29.70,,,0,0
1788454935.61,5033.86,0.01,29.70,,,0,0
1788454935.71,5033.96,0.00,29.70,,,0,0
1788454935.81,5034.06,-0.00,29.70,,,0,0
1788454935.91,5034.16,0.01,29.70,,,0,0
1788454936.01,5034.26,-0.00,29.70,,,0,0
1788454936.12,5034.36,0.00,29.70,,,0,0
1788454936.22,5034.46,0.01,29.70,,,0,0
1788454936.32,5034.56,0.00,0.00,,,0,0
1788454936.42,5034.66,0.00,0.00,,,0,0
1788454936.52,5034.76,-0.00,0.00,,,0,0
1788454936.62,5034.86,-0.01,0.00,,,0,0
1788454936.72,5034.96,0.00,0.00,,,0,0
1788454936.82,5035.06,0.01,0.00,,,0,0
1788454936.92,5035.16,0.00,0.00,,,0,0
1788454937.02,5035.26,0.01,0.00,,,0,0
1788454937.12,5035.36,0.01,0.00,,,0,0
1788454937.22,5035.46,-0.00,0.00,,,0,0
1788454937.32,5035.56,0.00,0.00,,,0,0
1788454937.42,5035.66,0.01,0.00,,,0,0
1788454937.53,5035.76,0.01,0.00,,,0,0
1788454937.62,5035.86,0.01,0.00,,,0,0
1788454937.73,5035.97,-0.00,0.00,,,0,0
1788454937.83,5036.06,-0.00,0.00,,,0,0
1788454937.93,5036.16,0.01,0.00,,,0,0
1788454938.03,5036.26,-0.00,0.00,,,0,0
1788454938.13,5036.36,-0.00,0.00,,,0,0
1788454938.23,5036.46,-0.00,0.00,,,0,0
1788454938.34,5036.56,0.00,0.00,,,0,0
1788454938.44,5036.66,0.00,0.00,,,0,0
1788454938.54,5036.76,-0.00,0.00,,,0,0
1788454938.64,5036.86,0.00,0.00,,,0,0
1788454938.74,5036.96,-0.00,0.00,,,0,0
1788454938.84,5037.06,0.00,0.00,,,0,0
1788454938.95,5037.16,0.01,0.00,,,0,0
1788454939.04,5037.26,0.00,0.00,,,0,0
1788454939.15,5037.36,0.00,0.00,,,0,0
1788454939.25,5037.46,-0.00,0.00,,,0,0
1788454939.35,5037.56,0.00,0.00,,,0,0
1788454939.44,5037.66,-0.00,0.00,,,0,0
1788454939.54,5037.76,0.01,0.00,,,0,0
1788454939.64,5037.86,0.01,0.00,,,0,0
1788454939.74,5037.96,0.00,0.00,,,0,0
1788454939.84,5038.06,0.01,0.00,,,0,0
1788454939.94,5038.16,0.01,0.00,,,0,0
1788454940.05,5038.26,0.00,0.00,,,0,0
