wall,sim,lingueta_mm,lamina_deg,estado,fase,armvel_nz,armvel_n
1788464832.11,0.00,-0.01,28.62,,,0,0
1788464832.42,4024.91,0.01,28.62,,,0,0
1788464832.42,4024.91,0.01,28.62,,,0,0
1788464832.52,4025.01,-0.00,28.62,,,0,0
1788464832.62,4025.11,0.01,28.62,,,0,0
1788464832.72,4025.21,0.00,28.62,,,0,0
1788464832.82,4025.31,-0.00,28.62,,,0,0
1788464832.92,4025.41,-0.01,28.62,,,0,0
1788464833.02,4025.51,-0.01,28.62,,,0,0
1788464833.12,4025.61,0.00,28.62,,,0,0
1788464833.23,4025.71,0.01,28.62,,,0,0
1788464833.33,4025.81,0.01,0.00,,,0,0
1788464833.43,4025.91,0.01,0.00,,,0,0
1788464833.53,4026.01,0.01,0.00,,,0,0
1788464833.63,4026.11,0.00,0.00,,,0,0
1788464833.74,4026.21,-0.00,0.00,,,0,0
1788464833.84,4026.31,0.00,0.00,,,0,0
1788464833.94,4026.42,0.01,0.00,,,0,0
1788464834.04,4026.51,-0.01,0.00,,,0,0
1788464834.14,4026.61,0.00,0.00,,,0,0
1788464834.25,4026.72,0.00,0.00,,,0,0
1788464834.34,4026.81,-0.00,0.00,,,0,0
1788464834.45,4026.92,0.00,0.00,,,0,0
1788464834.55,4027.01,0.00,0.00,,,0,0
1788464834.66,4027.12,0.00,0.00,,,0,0
1788464834.76,4027.21,-0.00,0.00,,,0,0
1788464834.85,4027.31,0.01,0.00,,,0,0
1788464834.95,4027.41,-0.00,0.00,,,0,0
1788464835.05,4027.51,-0.00,0.00,,,0,0
1788464835.15,4027.61,0.00,0.00,,,0,0
1788464835.25,4027.71,0.01,0.00,,,0,0
1788464835.35,4027.81,-0.01,0.00,,,0,0
1788464835.46,4027.91,0.01,0.00,,,0,0
1788464835.56,4028.01,0.01,0.00,,,0,0
1788464835.66,4028.11,-0.00,0.00,,,0,0
1788464835.76,4028.21,0.01,0.00,,,0,0
1788464835.86,4028.32,0.00,0.00,,,0,0
1788464835.96,4028.41,-0.00,0.00,,,0,0
1788464836.06,4028.51,-0.00,0.00,,,0,0
1788464836.16,4028.61,-0.00,0.00,,,0,0
1788464836.27,4028.72,0.00,0.00,,,0,0
1788464836.37,4028.81,0.00,0.00,,,0,0
1788464836.47,4028.91,0.00,0.00,,,0,0
1788464836.58,4029.01,0.00,0.00,,,0,0
1788464836.68,4029.11,0.00,0.00,,,0,0
1788464836.78,4029.21,0.01,0.00,,,0,0
1788464836.88,4029.31,0.00,0.00,,,0,0
1788464836.98,4029.41,0.00,0.00,,,0,0
1788464837.08,4029.51,0.00,0.00,,,0,0
