wall,sim,lingueta_mm,lamina_deg,estado,fase,armvel_nz,armvel_n
1788466498.85,0.00,-0.00,27.85,,,0,0
1788466499.15,322.91,0.00,27.85,,,0,0
1788466499.16,322.91,-0.00,27.85,,,0,0
1788466499.26,323.01,-0.00,27.85,,,0,0
1788466499.35,323.11,0.00,27.85,,,0,0
1788466499.45,323.21,-0.01,27.85,,,0,0
1788466499.55,323.31,0.00,27.85,,,0,0
1788466499.66,323.41,-0.00,27.85,,,0,0
1788466499.76,323.51,-0.00,27.85,,,0,0
1788466499.86,323.61,-0.00,27.85,,,0,0
1788466499.96,323.71,0.00,27.85,,,0,0
1788466500.06,323.81,-0.00,0.00,,,0,0
1788466500.16,323.91,0.01,0.00,,,0,0
1788466500.26,324.01,0.01,0.00,,,0,0
1788466500.36,324.11,-0.00,0.00,,,0,0
1788466500.47,324.21,-0.00,0.00,,,0,0
1788466500.57,324.31,0.01,0.00,,,0,0
1788466500.67,324.41,0.01,0.00,,,0,0
1788466500.77,324.51,-0.00,0.00,,,0,0
1788466500.87,324.61,0.00,0.00,,,0,0
1788466500.97,324.71,0.00,0.00,,,0,0
1788466501.07,324.81,-0.00,0.00,,,0,0
1788466501.18,324.91,0.01,0.00,,,0,0
1788466501.27,325.01,0.00,0.00,,,0,0
1788466501.37,325.11,0.00,0.00,,,0,0
1788466501.47,325.21,-0.00,0.00,,,0,0
1788466501.57,325.31,0.01,0.00,,,0,0
1788466501.67,325.41,-0.00,0.00,,,0,0
1788466501.78,325.51,-0.01,0.00,,,0,0
1788466501.88,325.61,0.01,0.00,,,0,0
1788466501.98,325.71,0.01,0.00,,,0,0
1788466502.08,325.81,0.01,0.00,,,0,0
1788466502.18,325.91,0.01,0.00,,,0,0
1788466502.28,326.01,0.01,0.00,,,0,0
1788466502.38,326.11,-0.00,0.00,,,0,0
1788466502.48,326.21,-0.00,0.00,,,0,0
1788466502.58,326.31,0.00,0.00,,,0,0
1788466502.68,326.41,-0.00,0.00,,,0,0
1788466502.78,326.51,-0.00,0.00,,,0,0
1788466502.88,326.61,-0.00,0.00,,,0,0
1788466502.98,326.71,0.00,0.00,,,0,0
1788466503.08,326.81,0.01,0.00,,,0,0
1788466503.18,326.91,0.00,0.00,,,0,0
1788466503.28,327.01,0.00,0.00,,,0,0
1788466503.39,327.11,0.00,0.00,,,0,0
1788466503.49,327.21,0.00,0.00,,,0,0
1788466503.59,327.31,0.01,0.00,,,0,0
1788466503.69,327.41,-0.00,0.00,,,0,0
1788466503.79,327.51,0.01,0.00,,,0,0
1788466503.89,327.61,-0.00,0.00,,,0,0
1788466503.99,327.71,0.00,0.00,,,0,0
1788466504.09,327.81,0.00,0.00,,,0,0
1788466504.19,327.91,0.00,0.00,,,0,0
1788466504.29,328.01,-0.00,0.00,,,0,0
1788466504.39,328.11,0.01,0.00,,,0,0
1788466504.50,328.21,0.00,0.00,,,0,0
1788466504.60,328.31,0.00,0.00,,,0,0
1788466504.70,328.41,0.01,0.00,,,0,0
1788466504.80,328.51,0.01,0.00,,,0,0
1788466504.90,328.61,0.01,0.00,,,0,0
1788466505.00,328.71,-0.00,0.00,,,0,0
1788466505.10,328.81,0.00,0.00,,,0,0
1788466505.20,328.91,0.00,0.00,,,0,0
1788466505.30,329.01,-0.00,0.00,,,0,0
1788466505.40,329.11,0.00,0.00,,,0,0
1788466505.50,329.21,0.01,0.00,,,0,0
1788466505.60,329.31,-0.00,0.00,,,0,0
1788466505.70,329.41,0.00,0.00,,,0,0
1788466505.80,329.51,0.01,0.00,,,0,0
1788466505.92,329.61,-0.00,0.00,,,0,0
1788466506.02,329.71,0.00,0.00,,,0,0
1788466506.12,329.81,-0.00,0.00,,,0,0
1788466506.22,329.91,-0.00,0.00,,,0,0
1788466506.34,330.01,-0.00,0.00,,,0,0
1788466506.44,330.11,-0.00,0.00,,,0,0
1788466506.53,330.21,0.00,0.00,,,0,0
1788466506.63,330.31,0.00,0.00,,,0,0
1788466506.74,330.41,0.01,0.00,,,0,0
1788466506.84,330.51,0.01,0.00,,,0,0
1788466506.94,330.61,-0.00,0.00,,,0,0
1788466507.04,330.71,0.00,0.00,STOW_INIT,,0,1
1788466507.14,330.81,0.00,0.00,STOW_INIT,,0,0
1788466507.24,330.91,-0.00,0.00,STOW_INIT,,0,0
1788466507.34,331.01,-0.00,0.00,SEARCH,,0,0
1788466507.44,331.11,-0.00,0.00,SEARCH,,0,0
1788466507.55,331.21,0.00,0.00,SEARCH,,0,0
1788466507.65,331.31,0.00,0.00,SEARCH,,0,0
1788466507.75,331.41,0.01,0.00,SEARCH,,0,0
1788466507.85,331.51,0.01,0.00,SEARCH,,0,0
1788466507.95,331.61,-0.00,0.00,SEARCH,,0,0
1788466508.05,331.71,0.00,0.00,SEARCH,,0,0
1788466508.15,331.81,-0.00,0.00,SEARCH,,0,0
1788466508.25,331.91,0.00,0.00,SEARCH,,0,0
1788466508.36,332.01,0.01,0.00,SEARCH,,0,0
1788466508.46,332.11,0.00,0.00,SEARCH,,0,0
1788466508.56,332.21,-0.00,0.00,SEARCH,,0,0
1788466508.66,332.31,0.00,0.00,SEARCH,,0,0
1788466508.76,332.41,-0.00,0.00,SEARCH,,0,0
1788466508.86,332.51,-0.00,0.00,SEARCH,,0,0
1788466508.97,332.61,0.01,0.00,SEARCH,,0,0
1788466509.07,332.71,0.00,0.00,SEARCH,,0,0
1788466509.17,332.81,0.01,0.00,SEARCH,,0,0
1788466509.27,332.91,0.01,0.00,SEARCH,,0,0
1788466509.37,333.01,0.00,0.00,SEARCH,,0,0
1788466509.47,333.11,0.01,0.00,SEARCH,,0,0
1788466509.57,333.21,0.00,0.00,SEARCH,,0,0
1788466509.68,333.31,-0.00,0.00,SEARCH,,0,0
