wall,sim,lingueta_mm,lamina_deg,estado,fase,armvel_nz,armvel_n
1788461489.33,0.00,-0.01,29.40,,,0,0
1788461489.60,716.18,-0.00,29.40,,,0,0
1788461489.61,716.19,0.00,29.40,,,0,0
1788461489.71,716.29,0.00,29.40,,,0,0
1788461489.81,716.39,-0.00,29.40,,,0,0
1788461489.91,716.49,0.00,29.40,,,0,0
1788461490.01,716.59,0.01,29.40,,,0,0
1788461490.11,716.69,0.00,29.40,,,0,0
1788461490.21,716.79,0.01,29.40,,,0,0
1788461490.31,716.89,0.01,29.40,,,0,0
1788461490.41,716.99,0.00,29.40,,,0,0
1788461490.51,717.09,-0.00,0.00,,,0,0
1788461490.61,717.19,0.00,0.00,,,0,0
1788461490.71,717.29,0.00,0.00,,,0,0
1788461490.81,717.39,0.01,0.00,,,0,0
1788461490.92,717.49,-0.00,0.00,,,0,0
1788461491.02,717.59,0.00,0.00,,,0,0
1788461491.12,717.69,0.01,0.00,,,0,0
1788461491.22,717.79,-0.00,0.00,,,0,0
1788461491.32,717.89,0.00,0.00,,,0,0
1788461491.42,717.99,0.00,0.00,,,0,0
1788461491.52,718.09,-0.00,0.00,,,0,0
1788461491.62,718.19,0.01,0.00,,,0,0
1788461491.72,718.29,-0.00,0.00,,,0,0
1788461491.82,718.39,-0.01,0.00,,,0,0
1788461491.92,718.49,-0.00,0.00,,,0,0
1788461492.02,718.59,-0.00,0.00,,,0,0
1788461492.12,718.69,-0.00,0.00,,,0,0
1788461492.22,718.79,0.01,0.00,,,0,0
1788461492.33,718.89,0.01,0.00,,,0,0
1788461492.43,718.99,-0.00,0.00,,,0,0
1788461492.53,719.09,-0.00,0.00,,,0,0
1788461492.63,719.19,0.00,0.00,,,0,0
1788461492.73,719.29,0.01,0.00,,,0,0
1788461492.83,719.39,0.00,0.00,,,0,0
1788461492.94,719.49,0.01,0.00,,,0,0
1788461493.03,719.59,-0.00,0.00,,,0,0
1788461493.13,719.69,0.00,0.00,,,0,0
1788461493.23,719.79,0.00,0.00,,,0,0
1788461493.34,719.89,-0.00,0.00,,,0,0
1788461493.44,719.99,0.01,0.00,,,0,0
1788461493.54,720.09,0.01,0.00,,,0,0
1788461493.64,720.19,0.00,0.00,,,0,0
1788461493.74,720.29,-0.00,0.00,,,0,0
1788461493.84,720.39,0.00,0.00,,,0,0
1788461493.94,720.49,0.01,0.00,,,0,0
1788461494.04,720.59,-0.00,0.00,,,0,0
1788461494.14,720.69,-0.00,0.00,,,0,0
1788461494.24,720.79,0.01,0.00,,,0,0
1788461494.35,720.89,-0.00,0.00,,,0,0
1788461494.45,720.99,0.00,0.00,,,0,0
1788461494.55,721.09,0.00,0.00,,,0,0
1788461494.65,721.19,-0.00,0.00,,,0,0
1788461494.76,721.29,-0.00,0.00,,,0,0
1788461494.86,721.39,0.01,0.00,,,0,0
1788461494.96,721.49,0.00,0.00,,,0,0
1788461495.06,721.59,0.01,0.00,,,0,0
1788461495.16,721.69,0.01,0.00,,,0,0
1788461495.26,721.79,-0.00,0.00,,,0,0
1788461495.36,721.89,-0.00,0.00,,,0,0
1788461495.46,721.99,0.00,0.00,,,0,0
1788461495.56,722.09,0.00,0.00,,,0,0
1788461495.66,722.19,0.00,0.00,,,0,0
1788461495.76,722.29,0.01,0.00,,,0,0
1788461495.86,722.39,0.00,0.00,,,0,0
1788461495.96,722.49,0.01,0.00,,,0,0
1788461496.06,722.59,0.00,0.00,,,0,0
1788461496.16,722.69,-0.00,0.00,,,0,0
1788461496.26,722.79,0.00,0.00,,,0,0
1788461496.39,722.90,-0.00,0.00,,,0,0
1788461496.48,722.99,-0.00,0.00,,,0,0
1788461496.58,723.09,0.00,0.00,,,0,0
1788461496.67,723.19,0.00,0.00,,,0,0
1788461496.80,723.30,-0.00,0.00,,,0,0
1788461496.89,723.39,-0.00,0.00,,,0,0
1788461496.99,723.49,-0.00,0.00,,,0,0
1788461497.09,723.59,0.01,0.00,,,0,0
1788461497.19,723.69,-0.00,0.00,,,0,0
1788461497.29,723.79,0.00,0.00,,,0,0
1788461497.40,723.89,-0.00,0.00,STOW_INIT,,0,0
1788461497.50,723.99,0.00,0.00,STOW_INIT,,0,1
1788461497.60,724.09,0.00,0.00,STOW_INIT,,0,0
1788461497.70,724.19,0.01,0.00,STOW_INIT,,0,0
1788461497.80,724.29,0.00,0.00,SEARCH,,0,0
1788461497.90,724.39,-0.00,0.00,SEARCH,,0,0
1788461498.00,724.49,0.00,0.00,SEARCH,,0,0
1788461498.11,724.59,0.01,0.00,SEARCH,,0,0
1788461498.21,724.69,-0.00,0.00,SEARCH,,0,0
1788461498.31,724.79,0.01,0.00,SEARCH,,0,0
1788461498.42,724.89,0.01,0.00,SEARCH,,0,0
1788461498.52,724.99,0.00,0.00,SEARCH,,0,0
1788461498.62,725.09,-0.00,0.00,SEARCH,,0,0
1788461498.72,725.19,0.01,0.00,SEARCH,,0,0
1788461498.82,725.29,-0.00,0.00,SEARCH,,0,0
1788461498.92,725.39,-0.00,0.00,SEARCH,,0,0
1788461499.03,725.49,-0.00,0.00,SEARCH,,0,0
1788461499.13,725.59,0.00,0.00,SEARCH,,0,0
1788461499.23,725.69,0.01,0.00,SEARCH,,0,0
1788461499.33,725.79,-0.00,0.00,SEARCH,,0,0
1788461499.43,725.89,0.00,0.00,SEARCH,,0,0
1788461499.53,725.99,0.01,0.00,SEARCH,,0,0
1788461499.63,726.09,0.01,0.00,SEARCH,,0,0
1788461499.73,726.19,0.00,0.00,SEARCH,,0,0
1788461499.84,726.29,0.00,0.00,SEARCH,,0,0
1788461499.93,726.39,0.00,0.00,SEARCH,,0,0
1788461500.03,726.49,-0.00,0.00,SEARCH,,0,0
1788461500.13,726.59,-0.00,0.00,SEARCH,,0,0
1788461500.24,726.69,-0.00,0.00,SEARCH,,0,0
1788461500.33,726.79,-0.00,0.00,SEARCH,,0,0
1788461500.44,726.89,-0.00,0.00,SEARCH,,0,0
1788461500.54,726.99,0.01,0.00,SEARCH,,0,0
1788461500.64,727.09,0.01,0.00,SEARCH,,0,0
1788461500.74,727.19,0.00,0.00,SEARCH,,0,0
1788461500.84,727.29,0.01,0.00,SEARCH,,0,0
1788461500.94,727.39,0.00,0.00,SEARCH,,0,0
1788461501.05,727.49,0.01,0.00,SEARCH,,0,0
1788461501.15,727.59,-0.00,0.00,SEARCH,,0,0
1788461501.25,727.69,0.01,0.00,SEARCH,,0,0
1788461501.35,727.79,0.01,0.00,SEARCH,,0,0
1788461501.45,727.89,0.01,0.00,SEARCH,,0,0
1788461501.55,727.99,-0.00,0.00,SEARCH,,0,0
1788461501.65,728.09,0.01,0.00,SEARCH,,0,0
1788461501.76,728.19,-0.00,0.00,SEARCH,,0,0
1788461501.86,728.29,-0.00,0.00,SEARCH,,0,0
1788461501.96,728.39,0.01,0.00,SEARCH,,0,0
1788461502.06,728.49,0.01,0.00,SEARCH,,0,0
1788461502.16,728.59,0.00,0.00,SEARCH,,0,0
1788461502.26,728.69,-0.00,0.00,SEARCH,,0,0
1788461502.36,728.79,-0.00,0.00,SEARCH,,0,0
1788461502.46,728.89,-0.00,0.00,SEARCH,,0,0
1788461502.57,728.99,0.00,0.00,SEARCH,,0,0
1788461502.67,729.09,0.00,0.00,SEARCH,,0,0
1788461502.77,729.19,0.00,0.00,SEARCH,,0,0
1788461502.88,729.29,0.01,0.00,SEARCH,,0,0
1788461502.98,729.39,0.01,0.00,SEARCH,,0,0
1788461503.07,729.49,0.00,0.00,SEARCH,,0,0
1788461503.17,729.59,0.00,0.00,SEARCH,,0,0
1788461503.27,729.69,0.00,0.00,SEARCH,,0,0
1788461503.38,729.79,0.00,0.00,SEARCH,,0,0
1788461503.48,729.89,0.00,0.00,SEARCH,,0,0
1788461503.58,729.99,-0.00,0.00,SEARCH,,0,0
1788461503.68,730.09,0.00,0.00,SEARCH,,0,0
1788461503.78,730.19,0.00,0.00,SEARCH,,0,0
1788461503.89,730.29,0.01,0.00,SEARCH,,0,0
1788461503.99,730.39,0.01,0.00,SEARCH,,0,0
1788461504.09,730.49,-0.00,0.00,SEARCH,,0,0
1788461504.19,730.59,0.00,0.00,SEARCH,,0,0
1788461504.29,730.69,-0.00,0.00,SEARCH,,0,0
1788461504.40,730.79,0.01,0.00,SEARCH,,0,0
1788461504.50,730.89,-0.00,0.00,SEARCH,,0,0
1788461504.60,730.99,0.01,0.00,SEARCH,,0,0
1788461504.70,731.09,-0.01,0.00,SEARCH,,0,0
1788461504.80,731.19,-0.00,0.00,SEARCH,,0,0
