wall,sim,lingueta_mm,lamina_deg,estado,fase,armvel_nz,armvel_n
1788448599.53,0.00,-0.00,30.46,,,0,0
1788448599.95,865.18,-0.00,30.46,,,0,0
1788448599.95,865.18,-0.00,30.46,,,0,0
1788448600.05,865.28,0.00,30.46,,,0,0
1788448600.15,865.38,0.00,30.46,,,0,0
1788448600.25,865.48,-0.00,30.46,,,0,0
1788448600.35,865.58,-0.00,30.46,,,0,0
1788448600.45,865.68,-0.00,30.46,,,0,0
1788448600.55,865.78,-0.00,30.46,,,0,0
1788448600.65,865.88,0.00,30.46,,,0,0
1788448600.76,865.99,0.00,30.46,,,0,0
1788448600.85,866.08,-0.01,0.00,,,0,0
1788448600.96,866.18,0.01,0.00,,,0,0
1788448601.05,866.28,0.01,0.00,,,0,0
1788448601.15,866.38,-0.00,0.00,,,0,0
1788448601.26,866.48,0.00,0.00,,,0,0
1788448601.36,866.58,0.01,0.00,,,0,0
1788448601.46,866.68,0.00,0.00,,,0,0
1788448601.56,866.78,-0.00,0.00,,,0,0
1788448601.66,866.88,0.00,0.00,,,0,0
1788448601.76,866.98,0.00,0.00,,,0,0
1788448601.86,867.08,-0.00,0.00,,,0,0
1788448601.96,867.18,0.01,0.00,,,0,0
1788448602.06,867.28,0.00,0.00,,,0,0
1788448602.17,867.38,0.01,0.00,,,0,0
1788448602.27,867.48,-0.00,0.00,,,0,0
1788448602.37,867.58,0.00,0.00,,,0,0
1788448602.46,867.68,0.00,0.00,,,0,0
1788448602.57,867.78,-0.00,0.00,,,0,0
1788448602.67,867.88,0.01,0.00,,,0,0
1788448602.77,867.98,0.00,0.00,,,0,0
1788448602.87,868.08,0.01,0.00,,,0,0
1788448602.97,868.18,0.01,0.00,,,0,0
1788448603.06,868.28,0.01,0.00,,,0,0
1788448603.16,868.38,0.00,0.00,,,0,0
1788448603.26,868.48,-0.00,0.00,,,0,0
1788448603.36,868.58,0.00,0.00,,,0,0
1788448603.46,868.68,-0.00,0.00,,,0,0
1788448603.57,868.78,0.00,0.00,,,0,0
1788448603.67,868.88,-0.01,0.00,,,0,0
1788448603.77,868.99,0.00,0.00,,,0,0
1788448603.87,869.08,0.01,0.00,,,0,0
1788448603.97,869.18,-0.00,0.00,,,0,0
1788448604.07,869.28,0.01,0.00,,,0,0
1788448604.17,869.38,0.01,0.00,,,0,0
1788448604.27,869.48,0.01,0.00,,,0,0
1788448604.37,869.58,0.01,0.00,,,0,0
1788448604.47,869.68,-0.00,0.00,,,0,0
1788448604.57,869.78,0.01,0.00,,,0,0
1788448604.67,869.88,-0.00,0.00,,,0,0
1788448604.78,869.98,-0.00,0.00,,,0,0
1788448604.88,870.08,-0.00,0.00,,,0,0
1788448604.98,870.18,0.00,0.00,,,0,0
1788448605.08,870.28,0.01,0.00,,,0,0
1788448605.18,870.38,0.01,0.00,,,0,0
1788448605.28,870.48,0.00,0.00,,,0,0
1788448605.38,870.58,0.00,0.00,,,0,0
1788448605.48,870.68,0.00,0.00,,,0,0
1788448605.59,870.78,0.00,0.00,,,0,0
1788448605.68,870.88,0.01,0.00,,,0,0
1788448605.79,870.98,0.00,0.00,,,0,0
1788448605.89,871.08,0.01,0.00,,,0,0
1788448605.99,871.18,-0.00,0.00,,,0,0
1788448606.09,871.28,-0.00,0.00,,,0,0
1788448606.19,871.38,0.01,0.00,,,0,0
1788448606.29,871.48,0.01,0.00,,,0,0
1788448606.39,871.59,-0.00,0.00,,,0,0
1788448606.49,871.68,-0.00,0.00,,,0,0
1788448606.59,871.78,0.01,0.00,,,0,0
1788448606.69,871.88,-0.00,0.00,,,0,0
1788448606.79,871.98,0.01,0.00,,,0,0
1788448606.89,872.08,-0.00,0.00,,,0,0
1788448606.99,872.18,0.00,0.00,,,0,0
1788448607.09,872.28,0.00,0.00,,,0,0
1788448607.20,872.38,0.00,0.00,,,0,0
1788448607.30,872.48,0.00,0.00,,,0,0
1788448607.40,872.58,0.00,0.00,,,0,0
1788448607.50,872.68,0.01,0.00,,,0,0
1788448607.59,872.78,0.01,0.00,,,0,0
1788448607.71,872.88,-0.00,0.00,,,0,0
1788448607.82,872.98,0.00,0.00,,,0,0
1788448607.92,873.08,0.00,0.00,,,0,0
1788448608.01,873.18,-0.00,0.00,,,0,0
1788448608.13,873.28,0.00,0.00,,,0,0
1788448608.23,873.38,-0.00,0.00,,,0,0
1788448608.32,873.48,0.00,0.00,,,0,0
1788448608.42,873.58,0.00,0.00,,,0,0
1788448608.52,873.68,0.01,0.00,,,0,0
1788448608.62,873.78,0.01,0.00,STOW_INIT,,0,0
1788448608.72,873.88,-0.00,0.00,STOW_INIT,,0,1
1788448608.83,873.99,0.00,0.00,STOW_INIT,,0,0
