wall,sim,lingueta_mm,lamina_deg,estado,fase,armvel_nz,armvel_n
1788449914.96,0.00,0.01,0.00,,,0,0
1788449915.22,69.59,0.01,0.00,,,0,0
1788449915.22,69.59,-0.01,0.00,,,0,0
1788449915.32,69.70,0.00,0.00,,,0,0
1788449915.42,69.79,0.01,0.00,,,0,0
1788449915.52,69.89,0.00,0.00,,,0,0
1788449915.62,70.00,0.00,0.00,,,0,0
1788449915.72,70.09,0.01,0.00,,,0,0
1788449915.82,70.19,0.00,0.00,,,0,0
1788449915.92,70.29,0.01,0.00,,,0,0
1788449916.02,70.39,0.00,0.00,,,0,0
1788449916.12,70.50,0.01,0.00,,,0,0
1788449916.22,70.59,0.01,0.00,,,0,0
1788449916.32,70.69,0.00,0.00,,,0,0
1788449916.42,70.79,0.00,0.00,,,0,0
1788449916.52,70.89,0.00,0.00,,,0,0
1788449916.63,71.00,0.00,0.00,,,0,0
1788449916.73,71.10,0.01,0.00,,,0,0
1788449916.83,71.19,0.01,0.00,,,0,0
1788449916.93,71.30,-0.00,0.00,,,0,0
1788449917.03,71.39,0.00,0.00,,,0,0
1788449917.13,71.50,0.00,0.00,,,0,0
1788449917.23,71.59,0.00,0.00,,,0,0
1788449917.33,71.70,0.01,0.00,,,0,0
1788449917.43,71.79,0.00,0.00,,,0,0
1788449917.53,71.89,0.01,0.00,,,0,0
1788449917.63,71.99,-0.00,0.00,,,0,0
1788449917.73,72.09,0.00,0.00,,,0,0
1788449917.84,72.19,-0.00,0.00,,,0,0
1788449917.94,72.29,0.01,0.00,,,0,0
1788449918.04,72.39,0.01,0.00,,,0,0
1788449918.14,72.50,0.00,0.00,,,0,0
1788449918.24,72.59,-0.00,0.00,,,0,0
1788449918.35,72.70,0.00,0.00,,,0,0
1788449918.44,72.80,0.01,0.00,,,0,0
1788449918.55,72.90,0.01,0.00,,,0,0
1788449918.65,73.00,0.00,0.00,,,0,0
1788449918.75,73.10,0.00,0.00,,,0,0
1788449918.85,73.19,-0.00,0.00,,,0,0
1788449918.95,73.30,-0.00,0.00,,,0,0
1788449919.05,73.40,0.01,0.00,,,0,0
1788449919.15,73.49,0.00,0.00,,,0,0
1788449919.25,73.59,-0.00,0.00,,,0,0
1788449919.36,73.69,0.00,0.00,,,0,0
1788449919.46,73.80,0.01,0.00,,,0,0
1788449919.56,73.90,-0.00,0.00,,,0,0
1788449919.66,73.99,0.00,0.00,,,0,0
1788449919.76,74.10,-0.00,0.00,,,0,0
1788449919.86,74.19,0.00,0.00,,,0,0
1788449919.96,74.30,0.01,0.00,,,0,0
1788449920.06,74.40,-0.00,0.00,,,0,0
1788449920.17,74.50,-0.00,0.00,,,0,0
1788449920.27,74.59,0.01,0.00,,,0,0
1788449920.37,74.70,-0.00,0.00,,,0,0
1788449920.47,74.79,0.00,0.00,,,0,0
1788449920.57,74.90,0.00,0.00,,,0,0
1788449920.67,74.99,0.01,0.00,,,0,0
1788449920.78,75.10,-0.00,0.00,,,0,0
1788449920.87,75.19,-0.00,0.00,,,0,0
1788449920.98,75.30,0.00,0.00,,,0,0
1788449921.07,75.39,-0.00,0.00,,,0,0
1788449921.17,75.49,0.01,0.00,,,0,0
1788449921.27,75.59,0.01,0.00,,,0,0
1788449921.38,75.69,0.00,0.00,,,0,0
1788449921.48,75.79,0.00,0.00,,,0,0
1788449921.58,75.90,-0.00,0.00,,,0,0
1788449921.68,75.99,0.00,0.00,,,0,0
1788449921.78,76.09,0.00,0.00,,,0,0
1788449921.88,76.19,0.01,0.00,,,0,0
1788449921.99,76.30,0.00,0.00,,,0,0
1788449922.09,76.39,0.00,0.00,,,0,0
1788449922.19,76.49,0.01,0.00,,,0,0
1788449922.29,76.59,0.01,0.00,,,0,0
1788449922.40,76.70,0.01,0.00,,,0,0
1788449922.51,76.79,0.00,0.00,,,0,0
1788449922.60,76.89,-0.00,0.00,,,0,0
1788449922.70,76.99,0.00,0.00,,,0,0
1788449922.80,77.09,0.00,0.00,,,0,0
1788449922.90,77.19,0.00,0.00,,,0,0
1788449923.01,77.30,0.01,0.00,STOW_INIT,,0,1
1788449923.12,77.40,-0.01,0.00,STOW_INIT,,0,0
1788449923.22,77.49,-0.00,0.00,STOW_INIT,,0,0
1788449923.32,77.59,-0.00,0.00,SEARCH,,0,0
1788449923.42,77.69,0.00,0.00,SEARCH,,0,0
1788449923.52,77.79,-0.00,0.00,SEARCH,,0,0
1788449923.63,77.90,0.01,0.00,SEARCH,,0,0
1788449923.72,77.99,0.01,0.00,SEARCH,,0,0
1788449923.82,78.09,0.00,0.00,SEARCH,,0,0
1788449923.92,78.19,0.00,0.00,SEARCH,,0,0
1788449924.03,78.30,0.01,0.00,SEARCH,,0,0
1788449924.13,78.39,0.01,0.00,SEARCH,,0,0
1788449924.23,78.49,-0.00,0.00,SEARCH,,0,0
1788449924.33,78.60,-0.00,0.00,SEARCH,,0,0
1788449924.43,78.69,-0.00,0.00,SEARCH,,0,0
1788449924.53,78.79,-0.00,0.00,SEARCH,,0,0
1788449924.63,78.90,-0.00,0.00,SEARCH,,0,0
1788449924.73,78.99,0.01,0.00,SEARCH,,0,0
