11:14:37 cpu=96 ram=2605 rtf=0.44
11:14:49 cpu=94 ram=2711 rtf=0.40
11:15:01 cpu=94 ram=2712 rtf=0.43
11:15:13 cpu=92 ram=2714 rtf=0.42
11:15:25 cpu=93 ram=2694 rtf=0.42
11:15:37 cpu=93 ram=2725 rtf=0.42
11:15:49 cpu=93 ram=2714 rtf=0.42
11:16:01 cpu=94 ram=2722 rtf=0.41
11:16:13 cpu=93 ram=2718 rtf=0.39
11:16:25 cpu=95 ram=2722 rtf=0.42
11:16:37 cpu=91 ram=2714 rtf=0.41
11:16:49 cpu=93 ram=2708 rtf=0.42
11:17:02 cpu=96 ram=2709 rtf=0.35
11:17:14 cpu=97 ram=2719 rtf=0.34
11:17:26 cpu=97 ram=2730 rtf=0.33
11:17:38 cpu=96 ram=2709 rtf=0.35
11:17:50 cpu=96 ram=2721 rtf=0.37
11:18:02 cpu=93 ram=2715 rtf=0.40
11:18:14 cpu=93 ram=2716 rtf=0.40
11:18:26 cpu=94 ram=2723 rtf=0.41
11:18:38 cpu=94 ram=2718 rtf=0.40
11:18:50 cpu=94 ram=2722 rtf=0.40
11:19:02 cpu=95 ram=2720 rtf=0.41
11:19:15 cpu=92 ram=2716 rtf=0.37
11:19:27 cpu=95 ram=2722 rtf=0.35
11:19:39 cpu=92 ram=2718 rtf=0.39
11:19:51 cpu=94 ram=2719 rtf=0.34
11:20:03 cpu=92 ram=2718 rtf=0.42
11:20:15 cpu=94 ram=2724 rtf=0.41
11:20:27 cpu=94 ram=2721 rtf=0.41
11:20:39 cpu=94 ram=2715 rtf=0.42
11:20:51 cpu=94 ram=2719 rtf=0.40
11:21:03 cpu=92 ram=2718 rtf=0.40
11:21:15 cpu=94 ram=2720 rtf=0.42
11:21:27 cpu=92 ram=2714 rtf=0.41
11:21:40 cpu=95 ram=2715 rtf=0.40
11:21:52 cpu=96 ram=2716 rtf=0.40
11:22:04 cpu=95 ram=2717 rtf=0.38
11:22:16 cpu=93 ram=2726 rtf=0.36
11:22:28 cpu=95 ram=2712 rtf=0.33
11:22:40 cpu=94 ram=2713 rtf=0.36
11:22:52 cpu=93 ram=2712 rtf=0.37
11:23:04 cpu=95 ram=2726 rtf=0.37
11:23:16 cpu=96 ram=2717 rtf=0.37
11:23:28 cpu=95 ram=2719 rtf=0.39
11:23:40 cpu=93 ram=2716 rtf=0.39
11:23:53 cpu=94 ram=2712 rtf=0.42
11:24:05 cpu=95 ram=2725 rtf=0.41
11:24:17 cpu=96 ram=2724 rtf=0.37
11:24:29 cpu=96 ram=2723 rtf=0.36
11:24:41 cpu=94 ram=2718 rtf=0.40
11:24:53 cpu=95 ram=2697 rtf=0.36
11:25:05 cpu=97 ram=2705 rtf=0.41
11:25:17 cpu=92 ram=2698 rtf=0.37
11:25:29 cpu=94 ram=2693 rtf=0.37
11:25:41 cpu=94 ram=2718 rtf=0.40
11:25:53 cpu=95 ram=2718 rtf=0.37
11:26:05 cpu=95 ram=2685 rtf=0.40
11:26:18 cpu=93 ram=2712 rtf=0.41
11:26:30 cpu=94 ram=2721 rtf=0.40
11:26:42 cpu=94 ram=2693 rtf=0.40
11:26:54 cpu=94 ram=2691 rtf=0.42
11:27:06 cpu=96 ram=2716 rtf=0.39
11:27:18 cpu=95 ram=2719 rtf=0.36
11:27:30 cpu=94 ram=2708 rtf=0.38
11:27:42 cpu=92 ram=2604 rtf=0.34
