12:24:05 cpu=98 ram=2657 rtf=0.42
12:24:17 cpu=93 ram=2740 rtf=0.39
12:24:29 cpu=93 ram=2742 rtf=0.40
12:24:42 cpu=94 ram=2733 rtf=0.41
12:24:54 cpu=93 ram=2734 rtf=0.39
12:25:06 cpu=93 ram=2735 rtf=0.40
12:25:18 cpu=94 ram=2739 rtf=0.41
12:25:30 cpu=93 ram=2727 rtf=0.38
12:25:42 cpu=95 ram=2733 rtf=0.39
12:25:54 cpu=94 ram=2737 rtf=0.37
12:26:06 cpu=94 ram=2736 rtf=0.40
12:26:18 cpu=93 ram=2730 rtf=0.37
12:26:30 cpu=95 ram=2735 rtf=0.37
12:26:42 cpu=96 ram=2741 rtf=0.34
12:26:55 cpu=96 ram=2729 rtf=0.32
12:27:07 cpu=96 ram=2732 rtf=0.35
12:27:19 cpu=97 ram=2740 rtf=0.32
12:27:31 cpu=94 ram=2733 rtf=0.39
12:27:43 cpu=93 ram=2728 rtf=0.39
12:27:55 cpu=92 ram=2729 rtf=0.38
12:28:07 cpu=95 ram=2737 rtf=0.39
12:28:19 cpu=95 ram=2728 rtf=0.38
12:28:31 cpu=95 ram=2726 rtf=0.40
12:28:44 cpu=97 ram=2724 rtf=0.41
12:28:56 cpu=95 ram=2731 rtf=0.40
12:29:08 cpu=92 ram=2733 rtf=0.38
12:29:20 cpu=94 ram=2730 rtf=0.34
12:29:32 cpu=96 ram=2732 rtf=0.33
12:29:44 cpu=95 ram=2738 rtf=0.34
12:29:56 cpu=96 ram=2729 rtf=0.38
12:30:08 cpu=96 ram=2731 rtf=0.40
12:30:20 cpu=92 ram=2728 rtf=0.38
12:30:32 cpu=97 ram=2724 rtf=0.39
12:30:45 cpu=93 ram=2732 rtf=0.37
12:30:57 cpu=95 ram=2733 rtf=0.41
12:31:09 cpu=94 ram=2730 rtf=0.39
12:31:21 cpu=93 ram=2727 rtf=0.38
12:31:33 cpu=94 ram=2727 rtf=0.39
12:31:45 cpu=94 ram=2727 rtf=0.36
12:31:57 cpu=95 ram=2727 rtf=0.40
12:32:09 cpu=93 ram=2736 rtf=0.38
12:32:21 cpu=93 ram=2726 rtf=0.40
12:32:33 cpu=94 ram=2722 rtf=0.37
12:32:45 cpu=94 ram=2647 rtf=0.39
12:32:58 cpu=93 ram=2676 rtf=0.42
