wall,sim,lingueta_mm,lamina_deg,fase
1788443949.75,786.50,-0.00,0.00,
1788443949.85,786.60,0.01,0.00,
1788443949.95,786.70,0.00,0.00,
1788443950.05,786.80,0.01,0.00,
1788443950.15,786.90,-0.00,0.00,
1788443950.25,787.00,-0.01,0.00,
1788443950.35,787.10,0.00,0.00,
1788443950.46,787.20,0.01,0.00,
1788443950.56,787.30,-0.00,0.00,
1788443950.66,787.40,0.00,0.00,
1788443950.76,787.50,0.01,0.00,
1788443950.86,787.60,-0.00,0.00,
1788443950.97,787.70,-0.00,0.00,
1788443951.07,787.80,0.01,0.00,
1788443951.16,787.90,-0.00,0.00,
1788443951.27,788.00,-0.00,0.00,
1788443951.37,788.10,0.01,0.00,
1788443951.47,788.20,0.01,0.00,
1788443951.57,788.30,0.01,0.00,
1788443951.67,788.40,0.00,0.00,
1788443951.77,788.50,0.00,0.00,
1788443951.87,788.60,0.00,0.00,
1788443951.97,788.70,0.00,0.00,
1788443952.07,788.80,0.00,0.00,
1788443952.18,788.90,0.00,0.00,
1788443952.28,789.00,0.01,0.00,
1788443952.37,789.10,0.00,0.00,
1788443952.48,789.20,0.01,0.00,
1788443952.58,789.30,0.01,0.00,
1788443952.68,789.40,0.00,0.00,
1788443952.78,789.50,0.01,0.00,
1788443952.88,789.60,0.01,0.00,
1788443952.98,789.70,-0.00,0.00,
1788443953.08,789.80,0.00,0.00,
1788443953.18,789.90,-0.00,0.00,
1788443953.29,790.00,0.00,0.00,
1788443953.39,790.10,0.00,0.00,
1788443953.49,790.20,0.00,0.00,
1788443953.59,790.30,0.00,0.00,
1788443953.69,790.40,0.00,0.00,
1788443953.81,790.50,0.00,0.00,
1788443953.93,790.60,0.00,0.00,
1788443954.02,790.70,0.00,0.00,
1788443954.12,790.80,0.00,0.00,
1788443954.22,790.90,0.00,0.00,
1788443954.36,791.00,0.00,0.00,
1788443954.45,791.10,-0.01,0.00,
1788443954.54,791.20,0.00,0.00,
1788443954.64,791.30,0.01,0.00,
1788443954.74,791.40,-0.00,0.00,
1788443954.84,791.50,0.01,0.00,
1788443954.95,791.60,0.01,0.00,
1788443955.05,791.70,0.00,0.00,
1788443955.15,791.80,-0.00,0.00,
1788443955.25,791.90,0.00,0.00,
1788443955.36,792.00,-0.00,0.00,
1788443955.46,792.10,0.01,0.00,
1788443955.56,792.20,-0.00,0.00,
1788443955.67,792.30,0.00,0.00,
1788443955.76,792.40,0.01,0.00,
1788443955.87,792.50,0.00,0.00,
1788443955.97,792.60,0.00,0.00,
1788443956.07,792.70,0.01,0.00,
1788443956.17,792.80,0.00,0.00,
1788443956.28,792.90,0.01,0.00,
1788443956.38,793.00,0.00,0.00,
1788443956.47,793.10,0.00,0.00,
1788443956.58,793.20,-0.00,0.00,
1788443956.68,793.30,0.00,0.00,
1788443956.78,793.40,-0.00,0.00,
1788443956.88,793.50,0.00,0.00,
1788443956.98,793.60,0.00,0.00,
1788443957.09,793.70,0.00,0.00,
1788443957.19,793.80,0.01,0.00,
1788443957.29,793.90,0.00,0.00,
1788443957.40,794.00,-0.00,0.00,
1788443957.50,794.10,0.01,0.00,
1788443957.59,794.20,0.00,0.00,
1788443957.70,794.30,-0.00,0.00,
1788443957.80,794.40,0.00,0.00,
1788443957.90,794.50,-0.00,0.00,
1788443958.00,794.60,-0.00,0.00,
1788443958.10,794.70,0.00,0.00,
1788443958.20,794.80,0.01,0.00,
1788443958.31,794.90,-0.00,0.00,
1788443958.41,795.00,0.00,0.00,
1788443958.51,795.10,0.00,0.00,
1788443958.61,795.20,-0.00,0.00,
1788443958.71,795.30,0.00,0.00,
1788443958.81,795.40,-0.00,0.00,
1788443958.92,795.50,-0.00,0.00,
1788443959.02,795.60,0.00,0.00,
1788443959.12,795.70,0.00,0.00,
1788443959.22,795.80,0.00,0.00,
1788443959.32,795.90,0.00,0.00,
1788443959.42,796.00,-0.00,0.00,
1788443959.52,796.10,0.01,0.00,
1788443959.62,796.20,-0.00,0.00,
1788443959.72,796.30,0.00,0.00,
1788443959.82,796.40,0.00,0.00,
1788443959.92,796.50,-0.00,0.00,
1788443960.02,796.60,-0.00,0.00,
1788443960.12,796.70,-0.00,0.00,
1788443960.22,796.80,0.01,0.00,
1788443960.33,796.90,-0.00,0.00,
1788443960.43,797.00,0.01,0.00,
1788443960.53,797.10,0.01,0.00,
1788443960.63,797.20,-0.00,0.00,
1788443960.73,797.30,0.00,0.00,
1788443960.83,797.40,-0.00,0.00,
1788443960.94,797.50,0.01,0.00,
1788443961.04,797.60,-0.00,0.00,
1788443961.14,797.70,0.01,0.00,
1788443961.24,797.80,-0.00,0.00,
1788443961.34,797.90,-0.00,0.00,
1788443961.44,798.00,0.01,0.00,
1788443961.54,798.10,-0.00,0.00,
1788443961.64,798.20,0.01,0.00,
1788443961.75,798.30,0.01,0.00,
1788443961.85,798.40,0.00,0.00,
1788443961.94,798.50,0.01,0.00,
1788443962.04,798.60,0.00,0.00,
1788443962.15,798.70,0.00,0.00,
